Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
BEN,2020-12,-314.70M,4.420B,1.232B,0,0.67,0.67,9.383B,1.325B,763.10M,2020-12,345.30M,-27.10M,-27.10M,1.325B,298.60M,5.740B,409.10M,1.448B,537.30M,142.50M,0,1.995B,295.80M,10.40B,21.23B,50.50M,5.650B,1.448B,9.809B,15.58B,8.361B,354.00M,1.448B,1.230B
BEN,2020-09,-407.60M,3.958B,1.199B,0,0.15,0.15,9.415B,2.445B,428.40M,2020-09,78.90M,-12.80M,-12.80M,1.349B,305.30M,4.972B,46.40M,1.640B,199.60M,73.10M,0,1.627B,328.00M,10.11B,20.22B,49.50M,5.158B,1.640B,9.247B,15.06B,7.607B,382.00M,1.640B,1.201B
BEN,2020-06,-450.10M,7.021B,755.10M,0,0.58,0.58,3.095B,963.70M,433.00M,2020-06,290.40M,-4.50M,-4.50M,963.70M,77.20M,1.683B,253.70M,1.232B,269.80M,16.10M,0,1.188B,179.30M,10.11B,15.62B,49.50M,7.949B,1.232B,4.613B,7.668B,3.381B,179.30M,1.232B,927.80M
BEN,2020-03,-476.10M,6.077B,789.60M,0,0.16,0.16,3.019B,975.20M,548.70M,2020-03,79.10M,-0.50M,-0.50M,975.20M,126.20M,1.620B,356.10M,1.153B,102.90M,44.10M,0,1.338B,192.60M,9.903B,14.67B,49.50M,6.752B,1.153B,3.913B,7.914B,2.76B,192.60M,1.153B,675.20M
BEN,2019-12,-376.20M,5.976B,833.30M,0,0.7,0.7,3.032B,967.20M,555.90M,2019-12,350.50M,-0.70M,-0.70M,967.20M,132.80M,1.114B,372.90M,1.282B,445.60M,97.50M,0,1.389B,178.20M,10.08B,15.00B,49.80M,6.764B,1.282B,4.167B,8.238B,2.886B,183.00M,1.282B,787.50M
BEN,2019-09,-431.60M,5.958B,845.70M,0,0.61,0.61,2.994B,1.716B,501.70M,2019-09,306.40M,1.60M,1.60M,683.70M,120.10M,747.70M,301.00M,1.266B,395.80M,86.50M,0,1.347B,186.00M,9.906B,14.53B,49.90M,6.797B,1.266B,3.908B,7.736B,2.642B,200.70M,1.266B,839.00M
BEN,2019-06,-380.90M,5.758B,900.10M,0,0.48,0.48,3.013B,1.501B,576.60M,2019-06,245.90M,1.60M,1.60M,684.80M,118.90M,728.80M,374.90M,1.249B,413.50M,158.90M,0,1.477B,201.70M,9.911B,14.46B,50.40M,6.608B,1.249B,3.898B,7.856B,2.649B,201.70M,1.249B,850.20M
BEN,2019-03,-386.50M,5.946B,859.00M,0,0.72,0.72,3.028B,0,574.80M,2019-03,367.50M,2.80M,2.80M,576.60M,130.20M,730.70M,379.50M,1.310B,492.50M,110.90M,0,1.434B,195.30M,9.884B,14.24B,50.80M,6.787B,1.310B,3.740B,7.452B,2.430B,195.30M,1.310B,841.00M
BEN,2018-12,-393.60M,6.659B,799.50M,0,0.54,0.54,2.326B,0,612.00M,2018-12,275.90M,2.60M,2.60M,541.30M,132.60M,730.40M,411.50M,1.420B,346.00M,86.00M,0,1.412B,200.50M,9.745B,13.95B,51.10M,7.464B,1.420B,3.874B,6.486B,2.453B,200.50M,1.420B,805.60M
BEN,2018-09,-370.60M,6.911B,834.80M,0,0.96,0.96,2.333B,0,577.80M,2018-09,502.50M,8.20M,8.20M,535.00M,126.50M,728.50M,388.30M,1.389B,483.30M,7.00M,0,1.413B,187.70M,9.899B,14.38B,51.90M,7.758B,1.389B,4.176B,6.625B,2.786B,189.50M,1.389B,847.90M
BEN,2018-06,-342.90M,6.654B,857.30M,0,0.75,0.75,2.353B,1.460B,701.30M,2018-06,402.00M,-6.70M,-6.70M,522.40M,128.00M,729.80M,503.10M,1.560B,447.20M,91.80M,0,1.559B,198.20M,9.864B,15.53B,52.90M,7.601B,1.560B,5.338B,7.927B,3.778B,198.20M,1.560B,946.90M
BEN,2018-03,-259.70M,8.726B,877.00M,0,0.79,0.78,2.242B,1.394B,740.80M,2018-03,443.20M,15.70M,15.70M,517.70M,129.90M,1.079B,555.70M,3.204B,633.10M,150.20M,0,1.618B,185.10M,10.06B,17.69B,54.20M,9.626B,3.204B,7.288B,8.064B,4.083B,185.10M,3.204B,899.00M
BEN,2017-12,-266.60M,8.970B,861.20M,0,-1.06,-1.06,2.235B,0,754.30M,2017-12,-583.30M,13.00M,13.00M,516.60M,125.30M,1.096B,581.10M,1.817B,651.60M,1.224B,0,1.616B,173.20M,11.76B,18.07B,55.20M,10.07B,1.817B,5.994B,8.006B,4.177B,173.20M,1.817B,1.098B
BEN,2017-09,-284.80M,8.750B,871.00M,0,0.76,0.76,2.228B,0,745.90M,2017-09,425.20M,12.30M,12.30M,517.20M,170.60M,1.098B,557.70M,479.50M,658.40M,181.90M,0,1.617B,188.20M,12.62B,17.53B,55.50M,9.752B,479.50M,4.598B,7.782B,4.119B,188.20M,479.50M,1.002B
BEN,2017-06,-321.00M,8.786B,883.90M,0,0.73,0.73,2.228B,0,730.00M,2017-06,410.60M,7.40M,7.40M,508.80M,156.50M,1.428B,564.20M,388.70M,643.50M,184.10M,0,1.614B,165.80M,12.40B,17.48B,55.80M,9.765B,388.70M,4.771B,7.711B,4.382B,165.80M,388.70M,978.60M
BEN,2017-03,-373.20M,8.776B,878.20M,0,0.74,0.74,2.224B,0,722.40M,2017-03,420.70M,3.40M,3.40M,509.80M,159.80M,1.680B,555.50M,373.50M,627.50M,192.50M,0,1.601B,166.90M,12.19B,17.21B,56.20M,9.800B,373.50M,4.737B,7.410B,4.363B,166.90M,373.50M,1.024B
BEN,2016-12,-417.80M,8.455B,831.50M,0,0.77,0.77,2.200B,0,729.30M,2016-12,440.20M,0.30M,0.30M,512.50M,151.70M,1.734B,586.90M,521.10M,619.70M,200.90M,0,1.561B,142.40M,11.96B,16.21B,56.60M,9.385B,521.10M,3.963B,6.826B,3.442B,142.40M,521.10M,930.00M
BEN,2016-09,-347.40M,8.483B,853.40M,0,0.82,0.82,2.211B,0,758.40M,2016-09,472.10M,0.10M,0.10M,523.20M,161.50M,2.083B,579.40M,337.90M,636.30M,163.30M,0,1.612B,179.00M,11.94B,16.10B,57.00M,9.278B,337.90M,3.571B,6.821B,3.233B,179.00M,337.90M,794.30M
BEN,2016-06,-352.50M,8.242B,880.30M,0,0.77,0.77,2.214B,0,754.00M,2016-06,446.40M,0,0,508.40M,140.80M,2.164B,595.40M,298.60M,648.90M,187.40M,0,1.634B,158.60M,11.78B,16.00B,57.70M,9.055B,298.60M,3.626B,6.943B,3.327B,158.60M,298.60M,812.60M
BEN,2016-03,-317.80M,8.041B,906.00M,0,0.61,0.61,2.222B,0,707.90M,2016-03,360.40M,-5.10M,-5.10M,504.40M,128.10M,2.166B,537.30M,280.80M,542.50M,181.70M,0,1.614B,170.60M,11.77B,15.89B,58.60M,8.839B,280.80M,3.487B,7.052B,3.206B,170.60M,280.80M,798.00M
BEN,2015-12,-343.10M,8.269B,931.10M,0,0.74,0.74,2.248B,1.365B,826.90M,2015-12,447.80M,-8.40M,-8.40M,507.10M,237.00M,2.120B,653.60M,531.40M,672.10M,209.70M,0,1.758B,173.30M,11.78B,16.16B,59.50M,9.133B,531.40M,3.735B,7.023B,3.203B,173.30M,531.40M,863.70M
BEN,2015-09,-314.20M,8.368B,963.10M,0,0.59,0.59,2.257B,1.330B,910.70M,2015-09,358.20M,-10.10M,-10.10M,510.10M,241.40M,2.155B,718.10M,324.70M,595.70M,214.20M,0,1.874B,192.60M,11.84B,16.34B,60.40M,9.206B,324.70M,3.840B,7.130B,3.515B,192.60M,324.70M,838.00M
BEN,2015-06,-255.60M,8.426B,1.058B,0,0.82,0.82,2.286B,1.350B,943.30M,2015-06,504.20M,-11.10M,-11.10M,510.10M,261.10M,2.204B,769.80M,319.90M,751.40M,217.40M,0,2.001B,173.50M,12.09B,16.67B,61.50M,9.325B,319.90M,3.956B,7.345B,3.636B,173.50M,319.90M,899.00M
BEN,2015-03,-289.00M,8.122B,1.088B,0,0.98,0.98,2.288B,0,921.80M,2015-03,606.50M,1.70M,1.70M,516.90M,258.00M,2.478B,757.70M,314.60M,858.90M,236.00M,0,2.010B,164.10M,11.82B,16.49B,61.90M,9.041B,314.60M,4.062B,7.450B,3.747B,164.10M,314.60M,919.10M
BEN,2014-12,-178.40M,7.885B,1.107B,0,0.91,0.91,2.308B,0,957.30M,2014-12,566.40M,-9.30M,-9.30M,523.40M,259.70M,2.100B,782.00M,793.50M,822.40M,256.10M,0,2.064B,175.30M,11.56B,16.30B,62.20M,8.812B,793.50M,4.142B,7.485B,3.349B,175.30M,793.50M,926.70M
BEN,2014-09,-117.70M,7.596B,1.122B,0,1.03,1.02,2.326B,0,1.034B,2014-09,640.60M,-10.20M,-10.20M,530.70M,259.30M,2.149B,835.30M,314.40M,885.80M,255.00M,0,2.156B,198.40M,11.58B,16.36B,62.30M,8.546B,314.40M,4.145B,7.811B,3.830B,198.40M,314.40M,950.00M
BEN,2014-06,24.20M,7.698B,1.17B,0,0.92,0.92,2.349B,0,960.50M,2014-06,578.90M,-8.80M,-8.80M,542.10M,265.00M,2.190B,786.80M,302.60M,883.50M,251.40M,0,2.130B,173.70M,11.30B,16.69B,62.50M,8.700B,302.60M,4.771B,7.992B,4.468B,173.70M,302.60M,1.003B
BEN,2014-03,4.40M,6.911B,1.139B,0,0.89,0.89,2.347B,0,957.30M,2014-03,561.00M,-9.00M,-9.00M,553.50M,266.30M,2.229B,786.00M,261.50M,791.60M,238.80M,0,2.096B,171.30M,10.87B,16.14B,62.80M,8.121B,261.50M,4.664B,8.017B,4.403B,171.30M,261.50M,991.40M
BEN,2013-12,2.90M,6.700B,1.126B,0,0.96,0.96,2.351B,0,983.80M,2013-12,603.80M,-10.30M,-10.30M,559.40M,271.60M,2.257B,813.10M,472.60M,848.70M,252.70M,0,2.110B,170.70M,10.51B,15.91B,63.10M,7.948B,472.60M,4.825B,7.961B,4.352B,170.70M,472.60M,1.059B
BEN,2013-09,6.10M,6.323B,1.066B,0,0.8,0.8,2.359B,0,918.40M,2013-09,509.00M,-11.90M,-11.90M,564.10M,272.50M,2.295B,735.10M,273.70M,723.50M,213.00M,0,1.985B,183.30M,10.07B,15.39B,63.10M,7.592B,273.70M,4.705B,7.799B,4.431B,183.30M,273.70M,1.269B
BEN,2013-06,-48.40M,6.232B,1.158B,0,0.87,0.86,2.359B,1.303B,926.50M,2013-06,552.30M,-7.60M,-7.60M,563.20M,284.60M,2.390B,771.70M,272.70M,772.00M,209.90M,41.27M,2.085B,154.80M,9.780B,15.32B,63.60M,7.427B,272.70M,4.915B,7.890B,4.642B,154.80M,272.70M,1.195B
BEN,2013-03,8.70M,5.556B,1.136B,320.84M,0.9,0.9,2.381B,1.274B,877.70M,2013-03,572.80M,-8.50M,-8.50M,573.90M,281.20M,2.423B,729.40M,246.60M,815.00M,221.60M,41.48M,2.014B,148.30M,9.42B,14.81B,21.30M,6.789B,246.60M,4.732B,8.022B,4.486B,148.30M,246.60M,1.233B
BEN,2012-12,63.80M,5.243B,1.066B,45.66M,0.81,0.81,2.392B,0,835.80M,2012-12,516.10M,-11.40M,-11.40M,578.00M,263.00M,2.462B,685.10M,345.10M,716.10M,211.40M,0,1.902B,150.70M,8.948B,14.35B,21.30M,6.430B,345.10M,4.819B,7.924B,4.474B,150.70M,345.10M,1.187B
BEN,2012-09,62.00M,6.051B,1.019B,56.51M,0.7733,0.77,2.142B,0,797.10M,2012-09,492.10M,-5.50M,-5.50M,582.70M,276.30M,2.777B,622.70M,241.60M,678.40M,174.40M,0,1.816B,174.40M,9.201B,14.75B,63.70M,7.156B,241.60M,4.991B,7.596B,4.749B,174.40M,241.60M,1.105B
BEN,2012-06,-8.546M,6.410B,1.007B,80.69M,0.71,0.71,2.127B,0,777.00M,2012-06,455.30M,-4.60M,-4.60M,585.17M,263.25M,1.626B,643.00M,318.06M,614.90M,184.90M,0,1.784B,134.00M,8.749B,13.63B,21.26M,7.342B,1.386B,4.298B,6.293B,2.912B,134.00M,318.06M,793.91M
BEN,2012-03,76.34M,6.579B,1.038B,77.67M,0.7767,0.7733,2.145B,0,760.80M,2012-03,503.20M,-7.60M,-7.60M,594.80M,285.36M,1.947B,617.10M,388.38M,689.90M,202.10M,0,1.799B,143.70M,8.690B,13.66B,21.51M,7.569B,1.117B,4.287B,6.094B,3.170B,143.70M,388.38M,850.37M
BEN,2011-12,12.93M,6.165B,931.00M,0,0.7367,0.7333,2.142B,0,770.90M,2011-12,480.80M,-6.50M,-6.50M,594.67M,278.77M,2.003B,632.40M,412.46M,695.00M,201.30M,0,1.702B,138.50M,8.274B,13.41B,21.60M,7.084B,1.041B,4.446B,6.321B,3.405B,138.50M,412.46M,781.64M
BEN,2011-09,40.40M,7.621B,1.901B,0,0.6367,0.6267,2.148B,0,-63.51M,2011-09,416.00M,-8.307M,-8.307M,589.70M,274.40M,2.201B,592.70M,394.70M,560.82M,203.90M,0,1.837B,-533.10M,8.525B,13.78B,21.80M,8.544B,2.055B,4.653B,5.232B,2.598B,-656.21M,394.70M,922.60M
BEN,2011-06,230.98M,7.073B,719.31M,0,0.7567,0.7533,2.094B,0,1.134B,2011-06,503.35M,-7.396M,-7.396M,563.92M,254.75M,2.029B,714.81M,352.82M,687.14M,208.94M,0,1.853B,377.65M,8.686B,13.15B,22.04M,8.107B,1.281B,4.352B,5.044B,3.072B,418.91M,352.82M,896.68M
BEN,2011-03,205.53M,6.113B,676.94M,0,0.7533,0.75,2.081B,0,1.073B,2011-03,503.10M,-5.662M,-5.662M,561.96M,241.18M,2.081B,629.48M,308.11M,678.57M,183.00M,0,1.750B,401.67M,8.414B,12.83B,22.18M,7.104B,1.171B,4.377B,5.723B,3.206B,443.15M,308.11M,859.35M
