Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HBI,2020-12,-566.96M,909.44M,1.676B,411.56M,-0.95,-0.95,2.834B,2.147B,124.81M,2020-12,1.491B,-332.16M,-44.12M,-44.12M,1.013B,4.100B,-443.74M,1.692B,-494.13M,-161.97M,1.801B,568.54M,813.96M,7.699B,3.488M,3.408B,2.103B,6.885B,4.290B,4.782B,568.54M,948.51M,831.86M
HBI,2020-09,-614.78M,731.48M,1.192B,161.97M,0.29,0.29,2.747B,1.015B,616.71M,2020-09,2.171B,103.28M,-43.87M,-43.87M,1.015B,4.320B,174.57M,1.861B,125.39M,22.12M,1.808B,442.14M,1.150B,8.160B,3.483M,4.097B,2.023B,7.010B,4.062B,4.987B,442.14M,1.144B,984.57M
HBI,2020-06,-631.01M,683.11M,1.106B,281.75M,0.46,0.46,2.712B,1.046B,633.01M,2020-06,1.958B,161.18M,-41.66M,-41.66M,1.046B,4.348B,241.54M,1.721B,194.83M,33.65M,1.739B,391.48M,1.079B,8.113B,3.481M,4.032B,2.002B,7.034B,4.081B,5.031B,391.48M,1.152B,1.197B
HBI,2020-03,-723.42M,1.084B,842.73M,416.25M,-0.02,-0.02,2.641B,1.045B,473.73M,2020-03,1.964B,-7.874M,-36.85M,-36.85M,1.045B,4.596B,34.13M,1.373B,-9.209M,-1.335M,1.316B,439.60M,873.57M,7.943B,3.48M,3.951B,1.789B,7.070B,3.992B,5.281B,439.60M,925.42M,725.09M
HBI,2019-12,-617.65M,328.88M,1.044B,281.25M,0.51,0.51,2.757B,2.152B,706.74M,2019-12,1.906B,184.99M,-40.91M,-40.91M,1.076B,3.615B,243.42M,1.490B,194.85M,9.864M,1.751B,463.33M,1.237B,7.354B,3.624M,3.225B,1.771B,6.117B,4.129B,4.346B,463.33M,959.01M,815.21M
HBI,2019-09,-611.96M,317.02M,1.150B,509.84M,0.51,0.51,2.717B,1.057B,717.03M,2019-09,2.108B,185.09M,-43.09M,-43.09M,1.057B,3.832B,267.07M,1.587B,215.91M,30.82M,1.867B,449.96M,1.230B,7.773B,3.616M,3.626B,2.097B,6.543B,4.147B,4.446B,449.96M,997.07M,1.034B
HBI,2019-06,-572.63M,257.94M,1.085B,495.65M,0.41,0.41,2.782B,1.082B,675.52M,2019-06,2.234B,149.56M,-46.52M,-46.52M,1.082B,4.043B,229.60M,1.574B,174.83M,25.27M,1.761B,445.92M,1.135B,7.877B,3.615M,3.656B,2.070B,6.742B,4.220B,4.672B,445.92M,1.027B,1.012B
HBI,2019-03,-567.82M,287.08M,967.99M,623.00M,0.22,0.22,2.788B,1.086B,620.03M,2019-03,2.236B,81.09M,-48.06M,-48.06M,1.086B,3.989B,149.64M,1.559B,94.13M,13.05M,1.588B,470.39M,1.038B,7.848B,3.615M,3.622B,2.182B,6.810B,4.226B,4.628B,470.39M,1.007B,932.88M
HBI,2018-12,-495.87M,433.02M,1.067B,446.41M,0.44,0.44,2.797B,1.678B,701.68M,2018-12,2.057B,148.20M,-47.69M,-47.69M,607.69M,3.534B,241.64M,1.600B,187.18M,38.97M,1.768B,460.03M,872.13M,7.238B,3.613M,3.542B,2.046B,6.366B,3.696B,4.320B,460.03M,1.030B,870.88M
HBI,2018-09,-486.50M,398.50M,1.136B,520.25M,0.47,0.47,2.839B,607.65M,712.67M,2018-09,2.139B,171.42M,-52.80M,-52.80M,607.65M,3.864B,256.89M,1.507B,196.81M,25.39M,1.849B,455.78M,870.59M,7.456B,3.607M,3.737B,2.027B,6.585B,3.718B,4.558B,455.78M,975.14M,1.045B
HBI,2018-06,-472.55M,397.97M,1.055B,349.28M,0.39,0.39,2.870B,617.30M,659.96M,2018-06,2.112B,140.63M,-48.43M,-48.43M,617.30M,4.149B,220.06M,1.442B,165.06M,24.43M,1.715B,439.89M,767.19M,7.428B,3.605M,3.617B,1.791B,6.661B,3.811B,4.870B,439.89M,935.18M,973.81M
HBI,2018-03,-450.70M,373.66M,892.58M,340.61M,0.22,0.22,2.951B,630.67M,578.92M,2018-03,2.045B,79.41M,-45.76M,-45.76M,630.67M,4.185B,146.06M,1.337B,94.53M,15.12M,1.472B,432.86M,705.70M,7.328B,3.604M,3.400B,1.678B,6.622B,3.928B,4.944B,432.86M,813.98M,874.68M
HBI,2017-12,-439.21M,421.57M,1.020B,261.46M,-1.06,-1.06,2.570B,1.637B,625.56M,2017-12,1.875B,-372.62M,-44.25M,-44.25M,623.99M,3.702B,145.43M,1.517B,60.69M,433.31M,1.645B,480.13M,686.20M,6.895B,3.601M,3.386B,1.779B,6.209B,3.508B,4.430B,480.13M,867.65M,903.32M
HBI,2017-09,-426.64M,400.04M,1.121B,429.36M,0.56,0.55,2.513B,624.60M,678.46M,2017-09,1.954B,203.36M,-43.92M,-43.92M,624.60M,3.567B,258.47M,1.467B,207.51M,4.15M,1.799B,419.99M,1.231B,7.281B,3.646M,3.560B,1.897B,6.050B,3.721B,4.153B,419.99M,852.67M,1.009B
HBI,2017-06,-431.69M,449.42M,1.001B,428.48M,0.47,0.47,2.479B,619.88M,645.90M,2017-06,2.000B,172.53M,-44.13M,-44.13M,619.88M,3.797B,233.70M,1.350B,183.15M,10.99M,1.647B,412.20M,1.078B,7.237B,3.644M,3.578B,1.779B,6.159B,3.659B,4.380B,412.20M,784.96M,935.55M
HBI,2017-03,-419.76M,463.62M,840.82M,376.82M,0.19,0.19,2.437B,620.39M,539.53M,2017-03,1.999B,70.62M,-42.14M,-42.14M,620.39M,3.763B,126.43M,1.386B,77.75M,4.665M,1.380B,413.10M,958.06M,7.056B,3.641M,3.459B,1.762B,6.098B,3.597B,4.335B,413.10M,756.18M,800.47M
HBI,2016-12,-435.99M,460.24M,963.17M,234.76M,0.41,0.41,2.384B,1.643B,612.14M,2016-12,1.841B,157.11M,-41.15M,-41.15M,692.46M,3.508B,218.08M,1.381B,161.30M,5.579M,1.575B,394.05M,1.224B,6.930B,3.787M,3.321B,1.626B,5.707B,3.609B,4.081B,394.05M,761.65M,836.92M
HBI,2016-09,-381.24M,450.21M,1.112B,444.08M,0.46,0.45,2.490B,719.00M,649.37M,2016-09,2.005B,173.86M,-43.43M,-43.43M,719.00M,3.684B,228.35M,1.420B,183.36M,10.57M,1.761B,421.01M,1.187B,7.304B,3.779M,3.562B,1.873B,6.118B,3.742B,4.245B,421.01M,757.72M,961.66M
HBI,2016-06,-378.53M,661.00M,915.44M,361.28M,0.34,0.34,1.786B,672.81M,557.29M,2016-06,2.007B,128.14M,-36.54M,-36.54M,672.81M,3.467B,221.21M,1.190B,136.34M,8.202M,1.473B,336.08M,1.050B,6.615B,3.778M,3.633B,1.551B,5.565B,2.981B,4.014B,336.08M,664.19M,857.56M
HBI,2016-03,-384.72M,332.42M,761.88M,377.56M,0.21,0.21,1.551B,652.13M,457.26M,2016-03,1.970B,80.27M,-31.57M,-31.57M,652.13M,2.963B,122.40M,990.95M,90.19M,9.921M,1.219B,334.85M,952.04M,5.822B,3.775M,3.118B,1.369B,4.870B,2.704B,3.502B,334.85M,530.44M,722.10M
HBI,2015-12,-394.93M,319.17M,868.43M,370.60M,0.3,0.3,1.535B,1.553B,541.13M,2015-12,1.815B,119.16M,-30.77M,-30.77M,650.46M,2.233B,157.93M,1.133B,125.87M,6.711M,1.410B,383.20M,1.276B,5.598B,3.917M,2.918B,1.504B,4.322B,2.680B,2.818B,383.20M,672.97M,680.42M
HBI,2015-09,-383.38M,284.60M,1.010B,417.75M,0.41,0.4,1.549B,652.39M,580.75M,2015-09,1.814B,162.15M,-31.36M,-31.36M,652.39M,2.362B,208.33M,1.154B,176.25M,14.10M,1.591B,372.42M,1.250B,5.819B,3.923M,3.265B,1.572B,4.569B,2.554B,2.997B,372.42M,637.79M,850.33M
HBI,2015-06,-368.25M,315.35M,953.81M,379.38M,0.23,0.23,1.549B,658.79M,568.22M,2015-06,1.767B,94.90M,-29.02M,-29.02M,658.79M,2.218B,138.93M,1.134B,109.08M,14.18M,1.522B,429.29M,1.452B,5.872B,4.025M,3.296B,1.514B,4.421B,2.576B,2.907B,429.29M,661.37M,835.30M
HBI,2015-03,-367.75M,277.07M,762.69M,327.82M,0.13,0.13,1.363B,662.81M,446.23M,2015-03,1.693B,52.64M,-26.89M,-26.89M,662.81M,1.974B,89.93M,1.073B,62.66M,10.03M,1.209B,356.30M,1.403B,5.408B,4.014M,3.021B,1.401B,4.005B,2.387B,2.604B,356.30M,613.26M,713.11M
HBI,2014-12,-372.59M,239.86M,977.04M,369.76M,0.2225,0.22,1.414B,1.538B,545.56M,2014-12,1.537B,89.44M,-29.92M,-29.92M,674.38M,1.614B,131.15M,1.113B,100.52M,11.08M,1.523B,414.41M,1.387B,5.208B,4.008M,2.550B,1.482B,3.821B,2.658B,2.339B,414.41M,621.22M,672.05M
HBI,2014-09,-235.51M,215.83M,903.01M,382.77M,0.3,0.29,1.437B,673.30M,497.72M,2014-09,1.666B,118.94M,-23.53M,-23.53M,673.30M,1.909B,153.89M,1.293B,129.57M,10.62M,1.401B,343.82M,1.465B,5.543B,0.999M,3.154B,1.676B,4.079B,2.389B,2.403B,343.82M,673.94M,874.92M
HBI,2014-06,-233.83M,143.62M,837.70M,265.80M,0.38,0.38,994.39M,571.74M,504.35M,2014-06,1.402B,154.58M,-21.12M,-21.12M,571.74M,1.523B,207.12M,889.54M,185.34M,30.77M,1.342B,297.23M,1.378B,4.415B,0.996M,2.588B,1.155B,3.037B,1.827B,1.881B,297.23M,563.76M,779.52M
HBI,2014-03,-237.80M,151.14M,702.59M,203.37M,0.1,0.1,999.20M,572.58M,356.78M,2014-03,1.402B,41.56M,-21.82M,-21.82M,572.58M,1.62B,71.79M,826.00M,49.54M,7.975M,1.059B,284.99M,1.246B,4.274B,0.996M,2.441B,1.029B,3.027B,1.833B,1.998B,284.99M,492.36M,611.60M
HBI,2013-12,-237.02M,115.86M,858.56M,217.98M,0.08,0.08,1.004B,1.403B,427.23M,2013-12,1.283B,32.27M,-26.04M,-26.04M,579.88M,1.467B,71.70M,781.30M,30.17M,-2.097M,1.286B,355.53M,1.231B,4.090B,0.995M,2.244B,999.28M,2.859B,1.846B,1.860B,355.53M,466.27M,578.56M
HBI,2013-09,-318.46M,132.32M,775.67M,171.82M,0.3125,0.3075,544.82M,566.78M,421.68M,2013-09,1.314B,125.26M,-25.00M,-25.00M,566.78M,1.25B,176.90M,741.86M,151.10M,25.84M,1.197B,244.78M,1.152B,3.835B,0.991M,2.257B,913.68M,2.683B,1.578B,1.769B,244.78M,440.36M,585.71M
HBI,2013-06,-319.52M,82.30M,763.72M,200.78M,0.305,0.2975,547.48M,576.58M,435.48M,2013-06,1.337B,121.59M,-25.22M,-25.22M,576.58M,1.374B,181.45M,693.22M,155.48M,33.89M,1.199B,254.04M,1.044B,3.850B,0.99M,2.260B,894.01M,2.805B,1.590B,1.911B,254.04M,442.27M,616.62M
HBI,2013-03,-316.26M,68.54M,618.16M,189.57M,0.13,0.1275,550.41M,582.38M,327.30M,2013-03,1.347B,51.38M,-25.62M,-25.62M,582.38M,1.435B,85.14M,685.99M,59.06M,7.677M,945.46M,242.16M,948.55M,3.807B,0.985M,2.198B,875.56M,2.859B,1.610B,1.983B,242.16M,419.30M,550.65M
HBI,2012-12,-317.61M,42.80M,755.18M,200.05M,0.2025,0.2,553.41M,1.413B,398.07M,2012-12,1.253B,80.39M,-30.35M,-30.35M,596.16M,1.318B,153.01M,675.62M,87.17M,8.958M,1.153B,245.06M,886.87M,3.632B,0.983M,2.028B,875.67M,2.745B,1.604B,1.869B,245.06M,403.64M,506.28M
HBI,2012-09,-332.25M,182.27M,818.75M,195.96M,0.2775,0.2725,556.39M,1.412B,399.93M,2012-09,1.341B,109.89M,-32.90M,-32.90M,606.01M,1.50B,156.51M,688.94M,120.24M,9.055M,1.219B,243.42M,777.07M,3.940B,0.979M,2.319B,1.079B,3.162B,1.621B,2.084B,243.42M,429.17M,585.49M
HBI,2012-06,-334.73M,29.66M,813.72M,194.78M,0.0025,0.0025,558.12M,0,366.93M,2012-06,1.436B,1.231M,-36.61M,-36.61M,612.52M,1.661B,119.95M,598.55M,82.53M,15.21M,1.181B,246.98M,657.76M,3.886B,0.976M,2.256B,963.44M,3.228B,1.631B,2.265B,246.98M,394.98M,585.98M
HBI,2012-03,-330.73M,34.60M,718.02M,205.02M,-0.0675,-0.0675,600.61M,0,255.11M,2012-03,1.619B,-26.83M,-37.00M,-37.00M,623.87M,1.936B,10.64M,670.52M,-27.00M,-2.724M,973.13M,244.47M,657.74M,4.076B,0.976M,2.388B,875.53M,3.418B,1.689B,2.543B,244.47M,401.48M,524.74M
HBI,2011-12,-333.25M,35.34M,772.78M,230.01M,0.105,0.1025,603.07M,0,328.17M,2011-12,1.608B,40.96M,-37.72M,-37.72M,635.41M,1.808B,74.27M,703.71M,32.47M,-6.30M,1.101B,253.90M,681.06M,4.035B,0.975M,2.331B,933.72M,3.354B,1.704B,2.420B,253.90M,451.52M,470.71M
HBI,2011-09,-214.43M,48.00M,771.25M,209.11M,0.2325,0.2275,605.83M,0,414.05M,2011-09,1.726B,90.83M,-38.26M,-38.26M,636.41M,2.006B,144.94M,828.47M,105.81M,20.74M,1.185B,269.11M,750.24M,4.219B,0.972M,2.575B,1.038B,3.468B,1.644B,2.431B,269.11M,505.88M,589.44M
HBI,2011-06,-203.87M,44.66M,757.96M,242.07M,0.2225,0.2175,609.43M,0,410.02M,2011-06,1.640B,86.78M,-39.13M,-39.13M,635.61M,1.998B,135.82M,830.98M,95.88M,18.12M,1.168B,274.20M,657.80M,4.155B,0.967M,2.502B,1.073B,3.497B,1.653B,2.424B,274.20M,563.64M,612.18M
HBI,2011-03,-208.22M,64.80M,681.88M,171.77M,0.1225,0.1225,606.74M,0,354.52M,2011-03,1.542B,48.11M,-41.10M,-41.10M,633.13M,2.096B,101.84M,771.35M,60.14M,12.03M,1.036B,252.68M,620.12M,4.077B,0.965M,2.434B,943.12M,3.457B,1.642B,2.514B,252.68M,471.43M,547.12M
