Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HIG,2021-03,1.17B,48.47B,0,0.68,0.67,2.861B,2021-03,249.00M,4.493B,-57.00M,-57.00M,1.122B,4.352B,0,303.00M,54.00M,5.299B,0,18.56B,74.11B,338.00M,58.75B,0,55.56B,60.30B,48.84B,7.00M,0,10.28B
HIG,2020-12,856.00M,47.62B,0,1.48,1.47,2.884B,2020-12,537.00M,4.461B,-57.00M,-57.00M,1.144B,4.351B,0,652.00M,115.00M,5.125B,0,17.80B,72.32B,338.00M,57.73B,0,54.52B,58.85B,48.42B,0,0,10.12B
HIG,2020-09,479.00M,46.16B,0,1.26,1.26,2.907B,2020-09,459.00M,4.399B,-58.00M,-58.00M,1.135B,4.35B,0,532.00M,73.00M,5.171B,0,17.07B,70.99B,338.00M,56.39B,0,53.92B,57.44B,48.09B,-69.00M,0,10.24B
HIG,2020-06,-957.00M,42.92B,0,1.29,1.29,2.941B,2020-06,468.00M,4.353B,-57.00M,-57.00M,1.161B,4.349B,0,592.00M,124.00M,5.068B,0,15.27B,68.72B,338.00M,53.08B,0,53.46B,54.82B,47.74B,18.00M,0,10.15B
HIG,2020-03,52.00M,45.25B,500.00M,0.7476,0.7422,2.983B,2020-03,273.00M,4.215B,-64.00M,-64.00M,1.181B,4.348B,0,344.00M,71.00M,4.956B,0,16.27B,70.82B,338.00M,55.16B,500.00M,54.55B,57.47B,47.50B,19.00M,0,9.911B
HIG,2019-12,214.00M,45.52B,500.00M,1.51,1.49,3.039B,2019-12,548.00M,3.736B,-65.00M,-65.00M,1.194B,4.346B,0,676.00M,128.00M,5.129B,0,16.08B,70.26B,338.00M,55.44B,500.00M,54.18B,56.83B,47.35B,19.00M,0,9.913B
HIG,2019-09,-198.00M,43.76B,500.00M,1.45,1.43,3.104B,2019-09,535.00M,3.612B,-67.00M,-67.00M,1.222B,4.05B,0,653.00M,118.00M,5.347B,0,15.29B,69.47B,338.00M,53.88B,500.00M,54.18B,55.69B,46.99B,-71.00M,0,10.12B
HIG,2019-06,-885.00M,41.13B,499.00M,1.03,1.02,1.934B,2019-06,372.00M,3.637B,-63.00M,-63.00M,1.145B,3.767B,0,456.00M,84.00M,5.092B,0,14.34B,63.32B,338.00M,49.63B,499.00M,48.98B,51.17B,42.22B,15.00M,0,8.501B
HIG,2019-03,-1.579B,40.05B,413.00M,1.736,1.714,1.947B,2019-03,630.00M,3.704B,-64.00M,-64.00M,1.006B,4.265B,0,775.00M,145.00M,4.94B,0,13.10B,62.31B,338.00M,48.40B,413.00M,49.21B,50.00B,42.58B,13.00M,0,8.352B
HIG,2018-12,-1.519B,39.81B,413.00M,0.53,0.52,1.941B,2018-12,196.00M,3.559B,-70.00M,-70.00M,997.00M,4.263B,0,167.00M,-29.00M,4.428B,0,12.73B,61.44B,4.00M,47.76B,413.00M,48.71B,49.66B,41.95B,14.00M,0,7.956B
HIG,2018-09,-1.353B,39.64B,413.00M,0.01,0.01,1.959B,2018-09,432.00M,3.355B,-69.00M,-69.00M,1.013B,4.262B,0,530.00M,103.00M,4.842B,0,12.55B,60.78B,4.00M,47.55B,413.00M,48.23B,49.01B,41.79B,18.00M,0,7.913B
HIG,2018-06,-239.00M,39.66B,413.00M,0.41,0.41,1.977B,2018-06,582.00M,3.221B,-79.00M,-79.00M,1.018B,4.755B,0,537.00M,103.00M,4.789B,0,13.14B,216.67B,4.00M,47.69B,413.00M,203.52B,48.24B,42.42B,12.00M,0,8.033B
HIG,2018-03,663.00M,40.43B,320.00M,0.47,0.47,1.949B,2018-03,597.00M,3.175B,-80.00M,-80.00M,1.034B,4.678B,0,519.00M,91.00M,4.691B,0,13.49B,225.26B,4.00M,48.40B,320.00M,211.77B,48.68B,42.29B,18.00M,0,7.971B
HIG,2017-12,585.00M,62.87B,320.00M,-10.37,-10.37,567.00M,2017-12,-3.703B,7.476B,-78.00M,-78.00M,962.00M,4.818B,0,422.00M,980.00M,4.587B,0,17.23B,224.21B,4.00M,90.00B,320.00M,206.98B,73.83B,38.58B,11.00M,0,27.13B
HIG,2017-09,494.00M,63.97B,320.00M,0.65,0.64,567.00M,2017-09,234.00M,7.229B,-79.00M,-79.00M,974.00M,4.817B,0,181.00M,36.00M,4.192B,0,17.29B,225.86B,4.00M,91.08B,320.00M,208.58B,74.33B,38.23B,1.00M,0,27.11B
HIG,2017-06,-207.00M,62.48B,320.00M,0.31,-0.1093,567.00M,2017-06,-40.00M,7.127B,-79.00M,-79.00M,984.00M,4.817B,0,-281.00M,-129.00M,4.214B,0,17.01B,225.39B,4.00M,89.65B,320.00M,208.38B,72.82B,38.11B,1.00M,0,27.17B
HIG,2017-03,-337.00M,35.35B,416.00M,1.02,1,611.00M,2017-03,378.00M,2.886B,-80.00M,-80.00M,991.00M,4.494B,0,401.00M,98.00M,4.169B,0,16.90B,224.58B,4.00M,42.74B,416.00M,207.67B,42.56B,38.20B,1.00M,0,7.389B
HIG,2016-12,987.00M,64.13B,690.00M,-1.766,-1.766,567.00M,2016-12,-81.00M,7.043B,-70.00M,-70.00M,1.001B,4.635B,0,-632.00M,-268.00M,2.47B,0,18.66B,228.43B,5.00M,90.92B,690.00M,209.77B,74.14B,10.26B,0,0,26.79B
HIG,2016-09,900.00M,65.03B,690.00M,1.141,1.122,498.00M,2016-09,438.00M,7.095B,-86.00M,-86.00M,1.005B,4.634B,0,528.00M,90.00M,4.715B,0,18.56B,227.62B,5.00M,91.80B,690.00M,209.06B,75.26B,10.17B,0,0,26.78B
HIG,2016-06,254.00M,63.89B,690.00M,0.5513,0.5419,498.00M,2016-06,216.00M,7.081B,-85.00M,-85.00M,995.00M,4.633B,0,170.00M,-46.00M,4.696B,0,18.11B,227.49B,5.00M,90.62B,690.00M,209.38B,74.43B,10.13B,0,0,26.73B
HIG,2016-03,-329.00M,62.61B,275.00M,0.8105,0.795,498.00M,2016-03,323.00M,7.071B,-86.00M,-86.00M,974.00M,5.084B,0,381.00M,58.00M,4.41B,0,17.64B,228.35B,5.00M,89.33B,275.00M,210.71B,72.84B,38.18B,0,0,26.73B
HIG,2015-12,140.00M,64.02B,167.00M,1.03,1.01,498.00M,2015-12,421.00M,6.98B,-75.00M,-75.00M,932.00M,5.359B,0,4.00M,67.00M,2.133B,0,18.20B,231.45B,5.00M,90.71B,167.00M,213.25B,74.17B,10.87B,-21.00M,0,26.69B
HIG,2015-09,188.00M,63.76B,167.00M,0.9207,0.9007,498.00M,2015-09,381.00M,7.132B,-88.00M,-88.00M,874.00M,5.358B,0,379.00M,7.00M,4.562B,0,18.23B,241.02B,5.00M,90.23B,167.00M,222.79B,74.22B,10.82B,0,0,26.48B
HIG,2015-06,1.15B,65.85B,167.00M,0.9864,0.9647,498.00M,2015-06,413.00M,7.149B,-89.00M,-89.00M,848.00M,5.653B,0,470.00M,57.00M,4.685B,0,19.08B,246.96B,5.00M,92.09B,167.00M,227.88B,76.47B,11.04B,0,0,26.23B
HIG,2015-03,928.00M,65.71B,456.00M,1.105,1.077,498.00M,2015-03,467.00M,6.987B,-94.00M,-94.00M,831.00M,5.653B,0,625.00M,158.00M,4.617B,0,18.72B,245.01B,5.00M,92.06B,456.00M,226.29B,75.35B,10.91B,0,0,26.35B
HIG,2014-12,1.077B,65.69B,289.00M,0.89,0.86,498.00M,2014-12,382.00M,7.155B,-94.00M,-94.00M,816.00M,5.819B,0,444.00M,99.00M,4.617B,0,18.84B,247.10B,5.00M,92.04B,289.00M,228.26B,75.88B,11.21B,0,0,26.35B
HIG,2014-09,1.162B,67.09B,289.00M,0.89,0.86,498.00M,2014-09,388.00M,7.006B,-93.00M,-93.00M,807.00M,5.819B,0,496.00M,108.00M,4.769B,0,19.43B,254.71B,5.00M,93.61B,289.00M,235.28B,76.87B,11.17B,0,0,26.52B
HIG,2014-06,659.00M,69.44B,532.00M,-1.37,-1.37,498.00M,2014-06,-467.00M,7.136B,-94.00M,-94.00M,870.00M,5.818B,0,150.00M,0,4.616B,0,19.77B,272.92B,5.00M,96.05B,532.00M,253.15B,97.88B,11.14B,0,0,26.60B
HIG,2014-03,-79.00M,68.66B,438.00M,0.06,0.06,498.00M,2014-03,495.00M,7.018B,-95.00M,-95.00M,877.00M,6.106B,0,609.00M,143.00M,4.612B,0,18.90B,277.88B,5.00M,95.46B,438.00M,258.98B,99.21B,11.33B,0,0,26.80B
HIG,2013-12,-17.00M,70.45B,200.00M,0.7,0.65,498.00M,2013-12,314.00M,6.99B,-96.00M,-96.00M,895.00M,6.189B,0,482.00M,98.00M,4.777B,0,18.93B,283.95B,5.00M,97.24B,200.00M,265.02B,104.01B,11.63B,0,0,26.79B
HIG,2013-09,74.00M,72.33B,520.00M,-0.16,-0.16,498.00M,2013-09,293.00M,6.823B,-94.00M,-94.00M,911.00M,6.215B,0,446.00M,81.00M,4.862B,1.287B,19.01B,294.83B,5.00M,98.63B,520.00M,275.82B,106.91B,11.51B,0,0,26.30B
HIG,2013-06,1.649B,76.93B,520.00M,-0.42,-0.42,498.00M,2013-06,-190.00M,6.65B,-100.00M,-100.00M,921.00M,5.939B,0,237.00M,4.00M,4.734B,1.452B,20.92B,297.02B,561.00M,102.90B,520.00M,276.10B,114.64B,11.25B,0,0,25.98B
HIG,2013-03,2.843B,93.81B,320.00M,-0.01,-0.5753,654.00M,2013-03,-241.00M,8.708B,-107.00M,-107.00M,977.00M,6.967B,0,-437.00M,-197.00M,9.024B,0,22.45B,298.51B,561.00M,102.02B,320.00M,276.07B,134.52B,12.11B,-213.00M,0,8.208B
HIG,2012-12,3.295B,7.492B,320.00M,-0.13,-0.13,1.006B,2012-12,-46.00M,8.863B,-109.00M,-109.00M,979.00M,6.996B,0,252.00M,-23.00M,3.664B,0,23.37B,308.92B,561.00M,11.14B,320.00M,285.55B,137.70B,12.37B,0,0,3.646B
HIG,2012-09,2.256B,7.492B,400.00M,0.01,0.01,1.006B,2012-09,13.00M,8.831B,-109.00M,-109.00M,1.001B,7.379B,0,-48.00M,-41.00M,6.332B,0,21.96B,303.98B,561.00M,11.03B,400.00M,282.02B,135.86B,12.66B,0,0,3.537B
HIG,2012-06,1.328B,7.315B,400.00M,-0.26,-0.26,1.006B,2012-06,-101.00M,8.245B,-115.00M,-115.00M,1.017B,6.53B,0,-274.00M,-166.00M,4.565B,0,21.27B,310.55B,561.00M,10.88B,400.00M,289.27B,135.02B,11.86B,-910.00M,0,3.565B
HIG,2012-03,1.251B,93.05B,400.00M,0.1951,0.18,1.061B,2012-03,96.00M,7.729B,-124.00M,-124.00M,1.029B,6.53B,0,2.00M,-95.00M,7.661B,0,21.49B,302.61B,561.00M,101.26B,400.00M,281.12B,134.33B,40.20B,0,0,8.214B
HIG,2011-12,1.065B,12.29B,0,-0.95,-0.95,1.036B,2011-12,118.00M,7.766B,-124.00M,-124.00M,1.029B,6.566B,0,-20.00M,-84.00M,5.512B,0,22.78B,305.60B,561.00M,15.82B,0,282.82B,134.60B,11.98B,-30.00M,0,3.525B
HIG,2011-09,-77.00M,10.76B,0,0.11,0.11,1.036B,2011-09,60.00M,7.492B,-128.00M,-128.00M,1.02B,6.582B,0,-17.00M,-74.00M,4.52B,0,21.68B,317.47B,561.00M,14.18B,0,295.79B,133.87B,11.90B,1.287B,0,3.418B
HIG,2011-06,-764.00M,9.647B,0,0.05,0.05,1.051B,2011-06,33.00M,6.917B,-128.00M,-128.00M,1.132B,6.592B,0,-150.00M,-263.00M,5.401B,0,21.00B,322.54B,561.00M,13.04B,0,301.54B,131.94B,11.91B,2.044B,0,3.396B
