Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
INTU,2021-01,-23.00M,2.738B,367.00M,397.00M,1.317B,0.07,0.07,8.982B,1.184B,1.209B,2021-01,0,20.00M,-5.00M,-5.00M,1.184B,580.00M,2.424B,-25.00M,493.00M,22.00M,2.00M,368.00M,1.576B,830.00M,8.868B,14.60B,10.21B,4.094B,2.677B,5.73B,10.50B,3.053B,1.234B,492.00M,618.00M
INTU,2020-10,-35.00M,5.793B,256.00M,374.00M,1.193B,0.75,0.75,1.76B,975.00M,1.067B,2020-10,0,198.00M,-5.00M,-5.00M,975.00M,2.00M,2.26B,209.00M,270.00M,210.00M,12.00M,325.00M,1.323B,531.00M,5.245B,9.707B,6.283B,6.651B,2.152B,4.462B,3.056B,2.31B,858.00M,262.00M,128.00M
INTU,2020-07,-32.00M,7.05B,322.00M,1.384B,1.23B,1.7,1.68,1.682B,2.254B,1.494B,2020-07,0,445.00M,-1.00M,-1.00M,960.00M,22.00M,2.252B,483.00M,314.00M,486.00M,41.00M,393.00M,1.816B,617.00M,5.106B,10.93B,3.00M,7.98B,3.529B,5.825B,2.951B,2.296B,1.011B,311.00M,161.00M
INTU,2020-04,-44.00M,3.971B,426.00M,400.00M,1.134B,4.15,4.11,1.687B,965.00M,2.576B,2020-04,0,1.084B,8.00M,8.00M,965.00M,55.00M,263.00M,1.413B,718.00M,1.408B,324.00M,332.00M,3.002B,829.00M,4.74B,7.764B,6.132B,4.862B,2.713B,3.024B,2.902B,311.00M,1.163B,718.00M,225.00M
INTU,2020-01,-35.00M,2.266B,340.00M,95.00M,1.253B,0.92,0.91,1.696B,1.055B,1.356B,2020-01,0,240.00M,8.00M,8.00M,1.055B,68.00M,659.00M,270.00M,463.00M,282.00M,42.00M,333.00M,1.696B,752.00M,3.727B,6.701B,6.014B,3.69B,2.204B,2.974B,3.011B,770.00M,1.086B,463.00M,655.00M
INTU,2019-10,-35.00M,2.255B,290.00M,105.00M,1.089B,0.22,0.22,1.704B,1.08B,875.00M,2019-10,0,57.00M,10.00M,10.00M,1.08B,37.00M,670.00M,10.00M,280.00M,22.00M,-35.00M,334.00M,1.165B,529.00M,3.633B,6.183B,5.881B,3.162B,1.757B,2.55B,3.021B,793.00M,865.00M,280.00M,190.00M
INTU,2019-07,-36.00M,2.74B,281.00M,50.00M,1.169B,-0.17,-0.17,1.709B,2.161B,713.00M,2019-07,0,-44.00M,16.00M,16.00M,780.00M,13.00M,386.00M,-153.00M,281.00M,-137.00M,-93.00M,333.00M,994.00M,531.00M,3.749B,6.283B,3.00M,3.594B,1.966B,2.534B,2.689B,568.00M,866.00M,281.00M,152.00M
INTU,2019-04,-38.00M,3.346B,354.00M,50.00M,1.07B,5.3,5.22,1.654B,0,2.918B,2019-04,0,1.378B,10.00M,10.00M,799.00M,51.00M,398.00M,1.784B,740.00M,1.797B,419.00M,311.00M,3.272B,822.00M,4.07B,6.917B,5.782B,4.249B,2.291B,2.847B,2.668B,556.00M,1.134B,740.00M,265.00M
INTU,2019-01,-36.00M,1.333B,285.00M,50.00M,1.179B,0.73,0.72,1.66B,0,1.217B,2019-01,0,189.00M,2.00M,2.00M,810.00M,65.00M,363.00M,233.00M,417.00M,235.00M,46.00M,295.00M,1.502B,688.00M,2.796B,5.335B,5.623B,2.644B,2.001B,2.539B,2.691B,538.00M,984.00M,417.00M,624.00M
INTU,2018-10,-40.00M,1.332B,247.00M,50.00M,1.059B,0.13,0.13,1.665B,0,769.00M,2018-10,0,34.00M,3.00M,3.00M,805.00M,0,375.00M,-10.00M,226.00M,-14.00M,-48.00M,294.00M,1.016B,483.00M,2.782B,4.928B,5.501B,2.232B,1.586B,2.146B,2.696B,560.00M,779.00M,226.00M,193.00M
INTU,2018-07,-36.00M,1.716B,229.00M,50.00M,1.051B,0.19,0.18,1.672B,2.194B,635.00M,2018-07,0,-38.00M,6.00M,6.00M,812.00M,68.00M,388.00M,-200.00M,197.00M,-193.00M,-155.00M,311.00M,864.00M,522.00M,2.816B,5.134B,3.00M,2.422B,1.743B,2.318B,2.712B,575.00M,835.00M,197.00M,137.00M
INTU,2018-04,-30.00M,1.936B,305.00M,50.00M,1.557B,4.62,4.53,1.681B,2.419B,2.607B,2018-04,0,1.186B,-1.00M,-1.00M,950.00M,173.00M,400.00M,1.601B,698.00M,1.603B,417.00M,296.00M,2.912B,708.00M,2.364B,5.787B,5.289B,2.845B,2.703B,3.423B,2.942B,720.00M,1.006B,698.00M,311.00M
INTU,2018-01,-20.00M,726.00M,246.00M,690.00M,1.642B,0.72,0.7,1.69B,2.24B,1.093B,2018-01,0,183.00M,-4.00M,-4.00M,984.00M,170.00M,413.00M,194.00M,359.00M,193.00M,10.00M,286.00M,1.339B,612.00M,1.157B,4.898B,5.151B,1.902B,3.032B,3.741B,2.996B,709.00M,899.00M,359.00M,565.00M
INTU,2017-10,-28.00M,777.00M,198.00M,450.00M,1.218B,-0.01,-0.01,1.312B,0,712.00M,2017-10,0,-2.00M,-3.00M,-3.00M,1.016B,191.00M,425.00M,-35.00M,235.00M,-37.00M,-35.00M,293.00M,910.00M,453.00M,1.203B,4.064B,4.999B,1.415B,2.117B,2.861B,2.649B,744.00M,747.00M,235.00M,177.00M
INTU,2017-07,-22.00M,777.00M,184.00M,50.00M,1.348B,0.09,0.09,1.317B,0,677.00M,2017-07,0,38.00M,1.00M,1.00M,1.03B,202.00M,438.00M,13.00M,176.00M,13.00M,-25.00M,263.00M,861.00M,401.00M,1.354B,4.068B,3.00M,1.415B,1.944B,2.714B,2.653B,770.00M,664.00M,176.00M,166.00M
INTU,2017-04,-36.00M,1.593B,237.00M,50.00M,1.364B,3.76,3.7,1.321B,0,2.304B,2017-04,0,964.00M,-6.00M,-6.00M,1.041B,178.00M,450.00M,1.444B,715.00M,1.439B,475.00M,246.00M,2.541B,613.00M,1.697B,4.969B,4.787B,2.255B,2.494B,3.272B,2.714B,778.00M,860.00M,714.00M,245.00M
INTU,2017-01,-34.00M,637.00M,206.00M,687.00M,1.483B,0.05,0.05,1.327B,0,810.00M,2017-01,0,13.00M,-10.00M,-10.00M,1.047B,178.00M,463.00M,22.00M,279.00M,10.00M,-3.00M,243.00M,1.016B,545.00M,785.00M,4.373B,4.66B,1.679B,2.803B,3.588B,2.694B,785.00M,788.00M,268.00M,562.00M
INTU,2016-10,-37.00M,605.00M,183.00M,625.00M,1.149B,-0.12,-0.12,1.332B,0,595.00M,2016-10,0,-30.00M,-8.00M,-8.00M,1.047B,197.00M,475.00M,-61.00M,179.00M,-72.00M,-42.00M,246.00M,778.00M,409.00M,936.00M,3.933B,4.54B,1.262B,2.181B,2.997B,2.671B,816.00M,656.00M,175.00M,178.00M
INTU,2016-07,-32.00M,1.08B,171.00M,512.00M,1.18B,-0.16,-0.16,1.326B,0,583.00M,2016-07,0,-40.00M,-7.00M,-7.00M,1.031B,204.00M,488.00M,-56.00M,210.00M,-62.00M,-22.00M,235.00M,754.00M,398.00M,1.161B,4.25B,3.00M,1.614B,2.251B,3.089B,2.636B,838.00M,639.00M,199.00M,128.00M
INTU,2016-04,-26.00M,1.613B,216.00M,500.00M,1.226B,4,3.94,1.339B,0,2.088B,2016-04,0,1.026B,-9.00M,-9.00M,989.00M,174.00M,500.00M,1.285B,712.00M,1.277B,429.00M,228.00M,2.304B,572.00M,1.248B,4.94B,4.334B,2.311B,2.865B,3.692B,2.629B,827.00M,803.00M,712.00M,218.00M
INTU,2016-01,-42.00M,334.00M,199.00M,245.00M,1.396B,0.09,0.09,1.345B,1.743B,724.00M,2016-01,0,24.00M,-9.00M,-9.00M,980.00M,153.00M,1.00B,42.00M,307.00M,28.00M,-1.00M,205.00M,923.00M,476.00M,641.00M,4.349B,4.226B,1.467B,2.349B,3.708B,2.882B,1.359B,682.00M,296.00M,620.00M
INTU,2015-10,-32.00M,474.00M,166.00M,350.00M,1.062B,-0.11,-0.11,1.351B,1.571B,547.00M,2015-10,0,-31.00M,-7.00M,-7.00M,701.00M,157.00M,500.00M,-29.00M,191.00M,-40.00M,-9.00M,213.00M,713.00M,361.00M,1.051B,3.833B,4.114B,1.427B,1.887B,2.782B,2.406B,895.00M,576.00M,188.00M,224.00M
INTU,2015-07,-30.00M,1.697B,176.00M,0,1.099B,0.05,0.05,1.353B,0,520.00M,2015-07,0,14.00M,-4.00M,-4.00M,682.00M,152.00M,500.00M,-96.00M,210.00M,-138.00M,-36.00M,215.00M,696.00M,398.00M,2.332B,4.968B,3.00M,2.56B,1.744B,2.636B,2.408B,892.00M,616.00M,200.00M,175.00M
INTU,2015-04,-20.00M,2.084B,202.00M,0,1.206B,1.81,1.78,1.615B,0,1.933B,2015-04,0,501.00M,-5.00M,-5.00M,671.00M,145.00M,499.00M,1.18B,529.00M,1.06B,404.00M,206.00M,2.135B,544.00M,2.321B,5.295B,3.925B,2.867B,2.126B,2.974B,2.428B,848.00M,753.00M,526.00M,218.00M
INTU,2015-01,-22.00M,1.367B,188.00M,0,1.314B,-0.23,-0.23,1.875B,0,561.00M,2015-01,0,-66.00M,-5.00M,-5.00M,643.00M,83.00M,499.00M,-89.00M,293.00M,-94.00M,-34.00M,188.00M,749.00M,459.00M,2.354B,5.245B,3.822B,2.578B,2.109B,2.891B,2.667B,782.00M,650.00M,283.00M,605.00M
INTU,2014-10,-7.00M,1.589B,159.00M,0,947.00M,-0.29,-0.29,1.825B,0,453.00M,2014-10,0,-84.00M,-5.00M,-5.00M,629.00M,52.00M,499.00M,-109.00M,211.00M,-116.00M,-35.00M,189.00M,612.00M,370.00M,2.927B,5.038B,3.687B,2.437B,1.36B,2.111B,2.601B,751.00M,562.00M,208.00M,231.00M
INTU,2014-07,-2.00M,1.914B,132.00M,0,852.00M,-0.14,-0.14,1.456B,0,319.00M,2014-07,0,-29.00M,-5.00M,-5.00M,589.00M,3.00M,499.00M,-71.00M,165.00M,-55.00M,-18.00M,166.00M,451.00M,231.00M,3.078B,5.201B,3.00M,2.621B,1.421B,2.123B,2.58B,702.00M,390.00M,155.00M,150.00M
INTU,2014-04,12.00M,2.633B,170.00M,0,851.00M,3.47,3.39,1.468B,0,2.218B,2014-04,0,984.00M,-6.00M,-6.00M,566.00M,0,499.00M,1.494B,473.00M,1.489B,505.00M,186.00M,2.388B,533.00M,3.238B,5.61B,3.471B,3.438B,1.683B,2.372B,2.172B,689.00M,724.00M,470.00M,279.00M
INTU,2014-01,10.00M,1.331B,176.00M,0,1.198B,-0.13,-0.13,1.453B,0,606.00M,2014-01,0,-37.00M,-7.00M,-7.00M,573.00M,0,499.00M,-46.00M,245.00M,-54.00M,-17.00M,186.00M,782.00M,461.00M,2.235B,4.718B,3.376B,2.541B,1.79B,2.483B,2.177B,693.00M,652.00M,235.00M,658.00M
INTU,2013-10,19.00M,1.116B,143.00M,0,782.00M,-0.04,-0.04,1.408B,0,479.00M,2013-10,0,-11.00M,-7.00M,-7.00M,563.00M,0,499.00M,-77.00M,181.00M,-80.00M,-23.00M,176.00M,622.00M,376.00M,2.224B,4.068B,2.995B,1.95B,1.153B,1.844B,2.118B,691.00M,556.00M,178.00M,342.00M
INTU,2013-07,20.00M,1.661B,90.00M,500.00M,802.00M,-0.05,-0.05,1.395B,1.50B,319.00M,2013-07,0,-16.00M,-6.00M,-6.00M,555.00M,0,499.00M,-85.00M,157.00M,-92.00M,-30.00M,144.00M,409.00M,264.00M,3.531B,5.486B,3.00M,2.396B,1.28B,1.955B,3.09B,675.00M,404.00M,147.00M,192.00M
INTU,2013-04,29.00M,1.995B,145.00M,500.00M,679.00M,2.77,2.71,2.324B,1.395B,1.946B,2013-04,0,822.00M,-7.00M,-7.00M,588.00M,0,499.00M,1.282B,508.00M,1.278B,420.00M,166.00M,2.091B,491.00M,3.57B,5.81B,3.245B,2.70B,1.546B,2.24B,3.11B,694.00M,664.00M,505.00M,313.00M
INTU,2013-01,29.00M,678.00M,166.00M,500.00M,1.001B,0.24,0.23,2.378B,1.524B,718.00M,2013-01,0,71.00M,-7.00M,-7.00M,599.00M,0,499.00M,84.00M,233.00M,78.00M,13.00M,169.00M,884.00M,458.00M,2.792B,5.089B,3.186B,1.912B,1.596B,2.297B,3.177B,701.00M,634.00M,223.00M,698.00M
INTU,2012-10,29.00M,558.00M,139.00M,500.00M,699.00M,-0.06,-0.06,2.392B,0,423.00M,2012-10,0,-19.00M,-7.00M,-7.00M,595.00M,0,499.00M,-73.00M,180.00M,-79.00M,-25.00M,168.00M,562.00M,321.00M,2.745B,4.494B,3.114B,1.334B,1.074B,1.749B,3.16B,675.00M,496.00M,177.00M,349.00M
INTU,2012-07,25.00M,744.00M,16.00M,0,793.00M,0.01,0.01,1.493B,0,292.00M,2012-07,0,4.00M,-5.00M,-5.00M,543.00M,0,499.00M,-54.00M,159.00M,-65.00M,-30.00M,128.00M,308.00M,228.00M,2.744B,4.684B,3.00M,1.523B,1.265B,1.94B,3.161B,675.00M,346.00M,149.00M,195.00M
INTU,2012-04,29.00M,1.522B,197.00M,0,375.00M,2.49,2.42,2.021B,0,1.729B,2012-04,0,734.00M,-10.00M,-10.00M,555.00M,0,499.00M,1.111B,479.00M,1.108B,372.00M,163.00M,1.926B,453.00M,2.835B,5.116B,0,2.33B,1.587B,2.281B,2.786B,694.00M,618.00M,476.00M,299.00M
INTU,2012-01,9.00M,959.00M,205.00M,0,593.00M,0.4,0.39,2.02B,0,794.00M,2012-01,0,118.00M,-13.00M,-13.00M,564.00M,0,499.00M,195.00M,243.00M,183.00M,62.00M,164.00M,999.00M,425.00M,2.223B,4.962B,0,2.174B,2.053B,2.739B,2.788B,686.00M,599.00M,222.00M,673.00M
INTU,2011-10,9.00M,1.051B,167.00M,0,385.00M,-0.21,-0.21,2.037B,0,408.00M,2011-10,0,-64.00M,-13.00M,-13.00M,560.00M,0,499.00M,-84.00M,185.00M,-88.00M,-30.00M,163.00M,575.00M,308.00M,2.361B,4.683B,0,1.88B,1.636B,2.322B,2.803B,686.00M,492.00M,178.00M,305.00M
INTU,2011-07,15.00M,1.421B,-17.00M,0,877.00M,-0.17,-0.17,2.066B,0,208.00M,2011-07,0,-57.00M,-13.00M,-13.00M,561.00M,0,499.00M,14.00M,160.00M,-1.00M,2.00M,88.00M,191.00M,128.00M,2.616B,5.11B,3.00M,2.254B,1.805B,2.494B,2.856B,689.00M,194.00M,139.00M,243.00M
INTU,2011-04,15.00M,1.828B,168.00M,0,344.00M,2.27,2.2,2.113B,0,1.68B,2011-04,0,688.00M,-13.00M,-13.00M,565.00M,0,498.00M,1.061B,422.00M,1.052B,364.00M,164.00M,1.848B,444.00M,2.821B,5.567B,0,2.644B,2.044B,2.746B,2.923B,702.00M,619.00M,415.00M,268.00M
