Ticker,Date,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
JKHY,2020-12,147.76M,257.78M,0.117M,193.41M,0.94,0.94,1.154B,672.93M,164.58M,2020-12,0,71.98M,-0.065M,-0.065M,257.88M,322.12M,0.149M,93.63M,157.45M,93.57M,21.58M,26.78M,422.36M,44.17M,1.545B,2.287B,1.037M,518.48M,350.97M,741.53M,1.768B,390.56M,70.95M,11.57M,221.60M
JKHY,2020-09,195.32M,262.93M,0.126M,254.76M,1.19,1.19,1.155B,680.83M,188.87M,2020-09,0,91.22M,-0.049M,-0.049M,263.71M,314.14M,0.169M,117.59M,152.49M,117.54M,26.32M,26.06M,451.80M,45.23M,1.544B,2.335B,1.037M,574.54M,407.38M,791.33M,1.761B,383.95M,71.28M,7.713M,223.01M
JKHY,2020-06,213.34M,254.84M,0.115M,318.16M,0.8005,0.8,1.152B,677.82M,155.70M,2020-06,0,61.34M,-0.124M,-0.124M,273.43M,315.46M,0.208M,73.70M,176.57M,76.67M,15.33M,29.90M,410.54M,52.10M,1.550B,2.428B,1.036M,669.10M,494.84M,878.79M,1.759B,383.94M,82.00M,9.88M,322.00M
JKHY,2020-03,109.51M,258.57M,0.081M,160.32M,0.96,0.96,1.153B,675.94M,170.84M,2020-03,0,73.86M,0.032M,0.032M,277.09M,294.80M,55.17M,95.14M,138.01M,91.97M,18.12M,28.31M,429.41M,47.39M,1.514B,2.229B,1.036M,479.65M,298.41M,715.56M,1.750B,417.15M,75.70M,11.67M,219.12M
JKHY,2019-12,72.51M,249.27M,0,215.42M,0.94,0.94,1.161B,659.43M,169.85M,2019-12,0,72.10M,0.19M,0.19M,278.70M,285.32M,0,93.70M,127.73M,93.89M,21.80M,27.19M,419.12M,48.96M,1.487B,2.187B,1.036M,427.73M,343.15M,700.69M,1.760B,357.54M,76.15M,11.35M,204.70M
JKHY,2019-09,96.68M,245.79M,35.00M,266.83M,1.16,1.16,1.158B,660.96M,192.21M,2019-09,0,89.37M,0.352M,0.352M,274.53M,280.68M,0,118.19M,126.25M,118.54M,29.17M,24.59M,438.00M,49.44M,1.477B,2.226B,1.035M,484.12M,393.08M,749.32M,1.742B,356.24M,74.03M,19.50M,234.36M
JKHY,2019-06,93.63M,240.04M,0,339.75M,0.7922,0.79,1.118B,656.27M,153.47M,2019-06,0,60.99M,-0.227M,-0.227M,272.47M,271.56M,0,79.23M,130.21M,79.19M,18.20M,24.92M,393.51M,49.32M,1.429B,2.185B,1.035M,569.45M,469.96M,755.82M,1.615B,285.85M,74.24M,9.85M,327.90M
JKHY,2019-03,35.40M,235.59M,0,189.00M,0.77,0.77,1.116B,670.72M,144.77M,2019-03,0,59.25M,-0.069M,-0.069M,279.95M,231.52M,0,76.65M,106.87M,76.37M,17.12M,23.44M,380.36M,44.68M,1.426B,2.003B,1.035M,388.56M,330.86M,576.88M,1.614B,246.01M,68.12M,10.91M,207.98M
JKHY,2018-12,26.16M,227.28M,0,240.86M,0.88,0.88,1.114B,0,158.99M,2018-12,0,68.09M,0.104M,0.104M,283.45M,225.26M,0,88.20M,99.21M,88.31M,20.22M,23.99M,386.28M,46.80M,1.392B,1.972B,1.034M,362.64M,340.07M,579.82M,1.609B,239.75M,70.79M,6.597M,194.22M
JKHY,2018-09,114.87M,220.11M,0,296.68M,1.08,1.08,1.092B,0,172.43M,2018-09,0,83.55M,0.144M,0.144M,286.50M,230.12M,0,103.22M,123.55M,103.37M,19.82M,24.03M,392.54M,45.18M,1.369B,2.033B,1.034M,457.84M,420.23M,664.54M,1.575B,244.31M,69.21M,10.48M,202.71M
JKHY,2018-06,31.44M,223.61M,0,328.93M,1.105,1.1,1.092B,649.70M,154.65M,2018-06,0,67.84M,-0.596M,-0.596M,285.55M,249.29M,105.00M,84.95M,119.12M,84.35M,16.52M,24.41M,378.26M,45.30M,1.323B,2.033B,1.033M,470.74M,448.06M,710.21M,1.562B,262.16M,69.70M,30.36M,318.94M
JKHY,2018-03,57.40M,218.52M,0,199.12M,0.89,0.89,1.088B,627.95M,155.53M,2018-03,0,69.09M,-0.604M,-0.604M,261.22M,275.74M,100.00M,90.71M,90.12M,90.10M,21.02M,22.59M,374.05M,42.23M,1.223B,1.905B,1.032M,362.03M,289.24M,682.28M,1.543B,393.04M,64.82M,7.332M,182.32M
JKHY,2017-12,57.72M,207.10M,0,265.22M,2.09,2.08,1.090B,626.72M,150.11M,2017-12,0,161.24M,-0.104M,-0.104M,272.09M,277.26M,50.00M,84.60M,88.53M,84.69M,-76.56M,22.41M,357.21M,43.09M,1.174B,1.917B,1.032M,369.60M,353.75M,743.08M,1.547B,389.32M,65.51M,13.14M,190.46M
JKHY,2017-09,104.04M,203.92M,0.20M,324.52M,0.87,0.86,940.15M,0,157.37M,2017-09,0,66.87M,-0.042M,-0.042M,273.83M,335.95M,50.00M,95.35M,90.22M,97.02M,30.14M,20.93M,361.28M,41.09M,1.038B,1.796B,1.032M,403.87M,414.74M,758.53M,1.392B,343.79M,62.02M,17.54M,175.46M
JKHY,2017-06,114.76M,206.22M,0.213M,382.78M,0.8356,0.83,926.61M,0,134.72M,2017-06,0,48.46M,-0.353M,-0.353M,282.93M,348.15M,50.00M,71.94M,88.42M,72.61M,24.15M,23.34M,340.94M,39.44M,1.032B,1.909B,1.031M,520.03M,471.19M,876.89M,1.389B,405.70M,62.78M,6.841M,297.06M
JKHY,2017-03,42.92M,206.73M,0,194.81M,0.77,0.77,926.75M,0,147.04M,2017-03,0,60.04M,-0.236M,-0.236M,285.02M,347.36M,100.00M,86.44M,75.06M,88.50M,28.45M,20.80M,353.77M,39.79M,1.012B,1.687B,1.031M,299.15M,269.88M,674.87M,1.388B,405.00M,60.60M,5.255M,148.10M
JKHY,2016-12,64.19M,198.15M,0,245.17M,0.76,0.75,924.16M,0,150.41M,2016-12,0,58.81M,-0.124M,-0.124M,289.27M,359.62M,0,88.61M,83.42M,88.48M,29.67M,20.87M,348.55M,40.93M,971.41M,1.718B,1.03M,323.74M,328.59M,746.68M,1.394B,418.10M,61.80M,15.86M,155.90M
JKHY,2016-09,84.52M,194.76M,0,295.91M,0.79,0.79,918.45M,0,150.26M,2016-09,0,62.24M,-0.034M,-0.034M,293.24M,370.34M,0,91.42M,83.46M,91.38M,29.14M,19.74M,345.03M,39.11M,972.59M,1.732B,1.03M,342.90M,379.37M,759.66M,1.389B,380.29M,58.85M,13.64M,151.42M
JKHY,2016-06,70.31M,205.27M,0,343.52M,1.071,1.06,914.76M,0,161.70M,2016-06,0,84.27M,-0.398M,-0.398M,298.56M,366.13M,0,97.01M,100.01M,116.11M,31.84M,23.96M,366.97M,40.72M,996.21M,1.816B,1.029M,431.93M,443.73M,819.30M,1.384B,375.57M,64.69M,14.60M,269.56M
JKHY,2016-03,54.00M,194.27M,0,202.27M,0.68,0.68,936.97M,0,138.91M,2016-03,0,53.88M,-0.432M,-0.432M,298.02M,364.78M,0,79.83M,76.78M,79.40M,25.52M,19.85M,333.19M,39.23M,948.87M,1.703B,1.028M,309.97M,279.26M,753.76M,1.393B,474.49M,59.08M,7.06M,145.64M
JKHY,2015-12,55.13M,190.44M,0.323M,253.31M,0.75,0.74,928.12M,616.20M,142.43M,2015-12,0,59.35M,-0.185M,-0.185M,302.09M,352.29M,100.00M,84.79M,80.12M,84.60M,25.25M,18.86M,332.87M,38.78M,912.47M,1.709B,1.028M,320.02M,333.75M,796.39M,1.389B,462.64M,57.64M,5.653M,150.21M
JKHY,2015-09,84.48M,183.66M,1.107M,300.81M,0.64,0.64,918.25M,578.60M,137.96M,2015-09,0,51.37M,-0.107M,-0.107M,295.94M,353.46M,50.10M,80.54M,95.31M,80.43M,29.06M,18.55M,321.62M,38.86M,954.28M,1.714B,1.028M,345.42M,397.23M,759.91M,1.369B,362.69M,57.42M,28.15M,149.45M
JKHY,2015-06,148.31M,187.30M,2.595M,346.58M,0.7488,0.7488,898.15M,0,146.42M,2015-06,0,60.54M,-0.27M,-0.27M,296.33M,342.67M,70.20M,82.50M,94.44M,89.10M,28.56M,19.50M,333.71M,44.41M,991.53M,1.837B,1.027M,493.50M,443.61M,845.30M,1.343B,401.69M,63.91M,15.48M,248.14M
JKHY,2015-03,52.80M,177.89M,7.247M,204.26M,0.63,0.63,890.77M,0,131.82M,2015-03,0,50.71M,-0.636M,-0.636M,290.72M,293.65M,0.923M,77.20M,76.10M,76.57M,25.85M,17.52M,309.71M,37.09M,956.61M,1.618B,1.026M,294.53M,287.60M,661.53M,1.324B,373.92M,54.61M,11.24M,137.42M
JKHY,2014-12,49.33M,180.26M,77.89M,255.16M,0.66,0.66,883.46M,0,131.04M,2014-12,0,53.88M,-0.309M,-0.309M,295.48M,281.21M,1.041M,79.66M,72.21M,79.36M,25.47M,17.68M,311.29M,33.69M,922.06M,1.621B,1.026M,306.78M,405.26M,698.91M,1.314B,293.65M,51.37M,8.327M,150.00M
JKHY,2014-09,39.40M,174.88M,9.964M,298.14M,0.56,0.56,881.04M,0,126.59M,2014-09,0,46.09M,-0.209M,-0.209M,301.13M,145.59M,3.729M,71.63M,81.04M,71.42M,25.33M,16.79M,301.47M,38.17M,1.012B,1.558B,1.026M,302.12M,389.15M,546.14M,1.256B,156.98M,54.96M,23.01M,161.73M
JKHY,2014-06,70.38M,179.05M,5.407M,367.59M,0.6124,0.6,875.41M,0,136.12M,2014-06,0,52.53M,-0.264M,-0.264M,291.68M,253.10M,3.622M,82.89M,73.82M,82.62M,30.10M,17.45M,315.17M,35.78M,967.39M,1.681B,1.024M,390.51M,446.81M,713.32M,1.290B,266.51M,53.23M,10.52M,231.98M
JKHY,2014-03,52.24M,174.06M,11.83M,170.52M,0.5,0.5,868.19M,0,117.38M,2014-03,0,42.61M,-0.178M,-0.178M,299.15M,135.18M,5.689M,64.54M,72.10M,64.36M,21.76M,17.48M,291.43M,35.35M,1.115B,1.514B,1.024M,278.98M,254.45M,399.93M,1.235B,145.48M,52.83M,13.96M,141.07M
JKHY,2013-12,155.50M,165.82M,3.989M,220.31M,0.57,0.56,835.04M,0,123.02M,2013-12,0,48.36M,-0.138M,-0.138M,299.02M,135.14M,6.543M,74.24M,65.25M,74.10M,25.74M,16.14M,288.84M,32.64M,1.145B,1.582B,1.024M,382.71M,289.55M,436.70M,1.199B,147.15M,48.78M,13.95M,137.71M
JKHY,2013-09,181.79M,160.44M,11.45M,272.83M,0.51,0.5,829.61M,0,117.29M,2013-09,0,43.22M,-0.149M,-0.149M,295.64M,132.74M,0,66.63M,80.96M,66.48M,23.26M,15.67M,277.73M,34.99M,1.105B,1.615B,1.023M,430.46M,365.24M,510.36M,1.185B,145.12M,50.66M,28.80M,155.32M
JKHY,2013-06,127.90M,167.65M,7.929M,346.04M,0.5592,0.55,822.45M,573.10M,108.64M,2013-06,0,38.63M,-2.572M,-2.572M,300.51M,209.42M,7.366M,58.10M,80.23M,55.53M,16.90M,16.87M,276.29M,33.66M,1.016B,1.672B,1.02M,456.12M,434.20M,656.57M,1.216B,222.37M,50.53M,11.70M,237.37M
JKHY,2013-03,182.05M,166.95M,37.58M,153.02M,0.53,0.53,822.40M,518.16M,114.59M,2013-03,0,46.00M,-0.901M,-0.901M,291.33M,122.28M,95.06M,65.71M,70.19M,64.81M,18.81M,16.00M,281.54M,32.88M,1.080B,1.563B,1.019M,392.76M,260.79M,483.60M,1.171B,222.81M,48.88M,15.01M,129.59M
JKHY,2012-12,192.85M,156.46M,30.38M,206.31M,0.47,0.47,821.41M,493.84M,122.24M,2012-12,0,40.50M,-1.071M,-1.071M,286.42M,119.93M,98.93M,59.43M,63.07M,58.36M,17.85M,15.69M,278.69M,47.12M,1.047B,1.570B,1.018M,408.94M,299.76M,522.94M,1.161B,223.19M,62.81M,11.61M,132.15M
JKHY,2012-09,223.69M,155.07M,31.47M,254.96M,0.49,0.49,821.37M,0,115.93M,2012-09,0,42.48M,-1.154M,-1.154M,279.06M,122.91M,101.23M,67.52M,68.94M,66.36M,23.89M,14.64M,271.00M,33.77M,1.016B,1.603B,1.017M,450.73M,355.37M,586.67M,1.152B,231.30M,48.41M,21.46M,138.54M
JKHY,2012-06,157.31M,153.56M,25.50M,302.16M,0.5036,0.5,822.25M,0,103.60M,2012-06,0,40.38M,-0.519M,-0.519M,276.73M,121.02M,106.17M,56.51M,74.58M,55.99M,15.61M,15.39M,257.17M,31.70M,983.06M,1.619B,1.015M,468.65M,402.24M,636.44M,1.151B,234.19M,47.10M,16.32M,226.78M
JKHY,2012-03,89.77M,152.92M,28.57M,133.31M,0.42,0.42,823.51M,0,103.38M,2012-03,0,36.66M,-1.379M,-1.379M,273.11M,119.64M,112.48M,56.50M,59.83M,55.12M,18.46M,15.47M,256.30M,31.42M,978.79M,1.444B,1.013M,292.96M,221.71M,465.24M,1.151B,243.54M,46.89M,10.28M,125.66M
JKHY,2011-12,96.20M,148.45M,28.91M,186.67M,0.45,0.44,825.11M,0,107.41M,2011-12,0,38.52M,-1.342M,-1.342M,278.23M,113.14M,118.11M,60.79M,61.78M,59.45M,20.92M,15.08M,255.86M,31.55M,944.45M,1.464B,1.011M,308.77M,277.36M,519.16M,1.155B,241.79M,46.62M,13.47M,133.47M
JKHY,2011-09,109.06M,143.91M,33.16M,234.64M,0.42,0.42,829.65M,0,104.43M,2011-09,0,36.48M,-1.327M,-1.327M,279.74M,110.39M,124.15M,57.80M,60.00M,56.47M,20.00M,14.94M,248.34M,31.69M,909.16M,1.482B,1.009M,322.97M,327.80M,572.62M,1.159B,244.82M,46.63M,16.02M,139.98M
JKHY,2011-06,64.12M,145.06M,26.09M,292.11M,0.42,0.42,834.09M,0,104.19M,2011-06,0,36.57M,-1.826M,-1.826M,270.19M,107.57M,127.94M,58.05M,62.31M,56.22M,19.65M,16.45M,249.26M,29.69M,879.78M,1.506B,1.008M,353.95M,380.51M,626.02M,1.152B,245.51M,46.14M,12.83M,224.63M
JKHY,2011-03,55.38M,144.90M,20.10M,132.74M,0.38,0.38,839.38M,0,95.29M,2011-03,0,33.08M,-1.649M,-1.649M,270.12M,93.92M,224.59M,50.50M,54.30M,48.85M,15.77M,15.72M,240.18M,29.07M,849.52M,1.385B,1.007M,231.75M,207.15M,535.26M,1.153B,328.11M,44.79M,12.20M,121.70M
