Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,,,2011-09,2011-06,2011-03
KHC,2020-12,-1.967B,3.417B,4.416B,236.00M,0.84,0.84,79.76B,10.44B,2.523B,2020-12,2.554B,1.032B,-301.00M,-301.00M,6.876B,11.46B,28.07B,1.55B,5.608B,1.286B,252.00M,6.939B,973.00M,50.10B,99.83B,12.00M,10.82B,8.061B,49.59B,89.01B,41.53B,973.00M,4.304B,2.063B,,,,,
KHC,2020-09,-2.258B,2.72B,4.097B,535.00M,0.49,0.49,79.28B,10.24B,2.344B,2020-09,2.661B,597.00M,-314.00M,-314.00M,6.558B,11.46B,27.88B,1.447B,5.386B,906.00M,308.00M,6.441B,897.00M,49.22B,98.12B,12.00M,10.06B,7.694B,48.78B,88.06B,41.09B,897.00M,4.052B,1.979B,,,,,
KHC,2020-06,-2.296B,2.812B,4.196B,763.00M,-1.35,-1.35,80.51B,9.662B,2.452B,2020-06,2.815B,-1.651B,-434.00M,-434.00M,6.777B,11.37B,28.10B,1.534B,5.196B,-1.703B,-51.00M,6.648B,918.00M,49.04B,98.31B,12.00M,8.776B,8.05B,49.14B,89.53B,41.09B,918.00M,3.88B,2.045B,,,3.11B,3.195B,2.888B
KHC,2020-03,-2.426B,5.403B,4.299B,1.248B,0.31,0.31,83.32B,0,1.858B,2020-03,2.831B,378.00M,-301.00M,-301.00M,6.813B,11.84B,31.53B,996.00M,5.011B,541.00M,160.00M,6.157B,862.00M,51.01B,104.07B,12.00M,11.71B,7.934B,52.95B,92.36B,45.02B,862.00M,3.956B,2.321B,,,,,
KHC,2019-12,-1.886B,2.279B,4.429B,1.028B,0.15,0.15,84.20B,0,2.107B,2019-12,2.721B,182.00M,-290.00M,-290.00M,7.055B,11.88B,28.22B,1.27B,5.034B,327.00M,144.00M,6.536B,837.00M,51.62B,101.45B,12.00M,8.097B,7.875B,49.70B,93.35B,41.83B,837.00M,4.003B,1.973B,,,0.7,0.9036,0.824
KHC,2019-09,-2.126B,2.315B,4.129B,2.56B,0.74,0.74,84.54B,0,1.947B,2019-09,3.158B,899.00M,-398.00M,-398.00M,6.926B,12.01B,28.11B,1.185B,4.892B,1.162B,264.00M,6.076B,762.00M,51.67B,102.82B,12.00M,9.125B,9.112B,51.02B,93.70B,41.91B,762.00M,4.156B,2.078B,,,0.7,0.874,0.7971
KHC,2019-06,-1.807B,1.452B,4.324B,1.299B,0.37,0.37,84.93B,0,2.082B,2019-06,3.074B,449.00M,-308.00M,-308.00M,7.023B,12.13B,29.83B,1.332B,5.045B,551.00M,103.00M,6.406B,750.00M,51.54B,103.20B,12.00M,9.168B,7.797B,51.53B,94.03B,43.73B,750.00M,4.153B,2.154B,,,,,
KHC,2019-03,-1.684B,1.096B,3.948B,1.307B,0.33,0.33,85.64B,0,2.011B,2019-03,3.118B,405.00M,-315.00M,-315.00M,7.031B,12.16B,29.80B,1.182B,5.083B,621.00M,217.00M,5.959B,829.00M,51.70B,103.56B,12.00M,8.835B,7.972B,51.73B,94.73B,43.76B,829.00M,4.184B,2.095B,,,,,
KHC,2018-12,-1.943B,1.13B,4.675B,398.00M,-10.34,-10.34,85.97B,0,2.216B,2018-12,2.667B,-12.57B,-290.00M,-290.00M,7.078B,12.20B,30.77B,1.349B,5.283B,-14.47B,-1.846B,6.891B,867.00M,51.66B,103.46B,12.00M,9.075B,7.503B,51.69B,94.39B,44.18B,867.00M,4.153B,2.281B,,,1.364B,1.546B,1.517B
KHC,2018-09,-1.732B,1.366B,4.289B,1.378B,0.51,0.5,103.04B,0,2.094B,2018-09,3.287B,619.00M,-326.00M,-326.00M,7.216B,14.22B,31.00B,1.291B,5.225B,819.00M,201.00M,6.383B,803.00M,65.38B,119.73B,12.00M,7.59B,7.581B,54.16B,112.14B,46.58B,803.00M,4.416B,2.227B,,,2011-09,2011-06,2011-03
KHC,2018-06,-1.557B,3.369B,4.343B,2.788B,0.62,0.62,103.37B,9.15B,2.347B,2018-06,3.161B,754.00M,-316.00M,-316.00M,7.258B,14.23B,31.38B,1.591B,5.292B,1.061B,308.00M,6.69B,756.00M,65.68B,121.90B,12.00M,9.501B,9.091B,56.03B,112.40B,46.94B,756.00M,4.414B,2.164B,,,,,
KHC,2018-03,-975.00M,1.794B,4.04B,3.743B,0.82,0.82,104.44B,8.518B,2.264B,2018-03,3.144B,1.003B,-317.00M,-317.00M,7.267B,14.08B,28.56B,1.50B,5.444B,1.273B,270.00M,6.304B,764.00M,66.25B,120.79B,12.00M,7.437B,10.33B,54.33B,113.35B,44.00B,764.00M,4.532B,1.724B,,,417.00M,534.00M,487.00M
KHC,2017-12,-1.054B,1.629B,4.637B,3.195B,6.57,6.52,104.26B,0,2.198B,2017-12,2.76B,7.945B,-308.00M,-308.00M,7.061B,14.04B,28.31B,1.491B,5.47B,1.251B,-6.687B,6.835B,707.00M,65.86B,120.09B,12.00M,7.201B,10.15B,54.02B,112.89B,43.87B,707.00M,4.362B,1.812B,,,-3.00M,-1.00M,-2.00M
KHC,2017-09,-1.085B,1.441B,4.077B,3.21B,0.78,0.77,104.36B,0,2.203B,2017-09,3.188B,944.00M,-306.00M,-306.00M,6.934B,20.90B,28.30B,1.538B,4.904B,1.359B,416.00M,6.28B,665.00M,58.76B,120.05B,12.00M,7.228B,9.387B,61.08B,112.82B,51.69B,665.00M,4.116B,1.365B,,,-3.00M,-1.00M,-2.00M
KHC,2017-06,-1.308B,1.445B,4.204B,1.109B,0.95,0.94,103.96B,0,2.433B,2017-06,3.065B,1.159B,-307.00M,-307.00M,6.808B,20.89B,29.98B,1.644B,4.941B,1.59B,430.00M,6.637B,789.00M,58.33B,119.42B,12.00M,7.108B,7.356B,60.87B,112.31B,53.51B,789.00M,4.041B,1.434B,,,,,
KHC,2017-03,-1.449B,3.242B,4.125B,2.932B,0.73,0.73,103.63B,0,2.199B,2017-03,3.151B,893.00M,-313.00M,-313.00M,6.693B,20.91B,29.75B,1.433B,5.305B,1.25B,359.00M,6.324B,766.00M,57.73B,120.80B,12.00M,8.875B,9.383B,62.86B,111.93B,53.48B,766.00M,4.36B,1.474B,,,,,
KHC,2016-12,-1.628B,4.204B,4.651B,2.691B,0.78,0.77,103.42B,0,2.019B,2016-12,2.684B,908.00M,-310.00M,-310.00M,6.688B,20.85B,29.71B,1.057B,5.415B,1.196B,288.00M,6.67B,962.00M,57.36B,120.48B,12.00M,8.753B,9.501B,62.91B,111.73B,53.40B,962.00M,4.251B,1.158B,,,,,
KHC,2016-09,-1.229B,3.92B,4.049B,2.70B,0.69,0.69,104.14B,0,2.218B,2016-09,3.108B,842.00M,-311.00M,-311.00M,6.49B,20.71B,29.98B,1.413B,5.386B,1.105B,262.00M,6.267B,805.00M,57.64B,121.08B,12.00M,8.943B,9.414B,63.21B,112.14B,53.80B,805.00M,4.367B,1.063B,,,706.00M,830.00M,760.00M
KHC,2016-06,-933.00M,4.237B,4.262B,2.751B,0.63,0.63,104.40B,0,2.531B,2016-06,2.881B,950.00M,-264.00M,-264.00M,6.423B,20.90B,30.00B,1.636B,5.415B,1.366B,411.00M,6.793B,895.00M,57.83B,121.68B,12.00M,9.347B,9.593B,63.64B,112.34B,54.04B,895.00M,4.155B,1.26B,,,,,
KHC,2016-03,-560.00M,4.199B,4.192B,0,0.74,0.73,105.59B,0,2.378B,2016-03,2.892B,896.00M,-249.00M,-249.00M,6.434B,21.66B,25.17B,1.513B,5.275B,1.272B,372.00M,6.57B,865.00M,66.36B,123.27B,8.332B,9.812B,6.73B,56.69B,113.46B,49.96B,865.00M,4.142B,1.744B,,,719.00M,842.00M,768.00M
KHC,2015-12,-671.00M,4.837B,4.72B,83.00M,0.23,0.23,105.17B,7.43B,2.404B,2015-12,2.618B,645.00M,-266.00M,-266.00M,6.524B,21.50B,25.15B,1.287B,5.28B,1.03B,382.00M,7.124B,1.117B,66.00B,122.97B,8.332B,9.78B,6.932B,56.76B,113.19B,49.83B,1.117B,4.023B,1.454B,,,302.00M,308.00M,281.00M
KHC,2015-09,-613.00M,4.437B,4.492B,156.00M,-0.27,-0.27,103.44B,7.045B,1.628B,2015-09,2.981B,-123.00M,-460.00M,-460.00M,6.432B,19.68B,25.25B,399.00M,3.861B,-169.00M,-49.00M,6.12B,1.229B,67.13B,121.79B,8.332B,10.41B,5.746B,54.46B,111.38B,48.71B,1.229B,3.129B,1.613B,,,4.474B,4.741B,4.405B
KHC,2015-06,-622.00M,408.00M,2.972B,1.406B,0.93,0.92,13.58B,8.208B,1.543B,2015-06,1.703B,551.00M,-124.00M,-124.00M,4.22B,258.00M,8.625B,923.00M,2.297B,799.00M,248.00M,4.515B,620.00M,4.878B,22.07B,0,3.901B,3.515B,17.20B,18.17B,13.68B,620.00M,1.768B,1.223B,,,658.00M,716.00M,757.00M
KHC,2015-03,-634.00M,1.178B,3.019B,1.405B,0.73,0.72,13.55B,8.115B,1.333B,2015-03,1.886B,429.00M,-107.00M,-107.00M,4.194B,292.00M,8.626B,740.00M,2.455B,633.00M,204.00M,4.352B,593.00M,4.517B,23.13B,0,5.004B,4.884B,18.62B,18.13B,13.73B,593.00M,1.955B,1.219B,,,,,
KHC,2014-12,-562.00M,1.293B,4.224B,1.404B,-0.68,-0.68,13.64B,8.043B,472.00M,2014-12,1.775B,-398.00M,-116.00M,-116.00M,4.192B,340.00M,8.627B,-613.00M,2.372B,-730.00M,-332.00M,4.696B,1.085B,4.365B,22.95B,0,4.791B,4.773B,18.58B,18.16B,13.81B,1.085B,1.861B,1.08B,,,,,
KHC,2014-09,-561.00M,935.00M,3.108B,1.404B,0.75,0.74,13.69B,8.001B,1.292B,2014-09,2.044B,446.00M,-119.00M,-119.00M,4.169B,656.00M,8.615B,726.00M,1.946B,607.00M,161.00M,4.40B,566.00M,5.585B,22.80B,0,4.622B,4.291B,17.22B,18.18B,12.93B,566.00M,1.561B,1.086B,,,,,
KHC,2014-06,-483.00M,1.37B,3.226B,4.00M,0.81,0.8,13.74B,7.951B,1.521B,2014-06,2.024B,482.00M,-133.00M,-133.00M,4.13B,653.00M,8.604B,874.00M,2.496B,741.00M,259.00M,4.747B,647.00M,5.463B,23.34B,0,5.111B,4.796B,17.88B,18.23B,13.09B,647.00M,1.919B,1.186B,,,,,
KHC,2014-03,-518.00M,1.482B,2.802B,4.00M,0.86,0.85,13.70B,7.867B,1.56B,2014-03,1.909B,513.00M,-116.00M,-116.00M,4.106B,644.00M,9.998B,902.00M,2.486B,788.00M,275.00M,4.362B,658.00M,5.307B,23.36B,0,5.157B,3.534B,18.05B,18.20B,14.52B,658.00M,1.911B,1.204B,,,,,
KHC,2013-12,-499.00M,1.686B,2.663B,0,1.56,1.54,13.73B,7.822B,1.932B,2013-12,1.616B,931.00M,-124.00M,-124.00M,4.115B,662.00M,9.976B,1.523B,2.546B,1.39B,459.00M,4.595B,409.00M,5.187B,23.15B,0,4.908B,3.41B,17.96B,18.24B,14.55B,409.00M,1.861B,1.048B,,,,,
KHC,2013-09,-489.00M,1.231B,2.908B,0,0.84,0.83,13.93B,7.954B,1.486B,2013-09,1.881B,500.00M,-124.00M,-124.00M,4.103B,678.00M,9.975B,885.00M,2.043B,746.00M,246.00M,4.394B,601.00M,4.853B,23.13B,0,4.835B,2.899B,18.27B,18.29B,15.37B,601.00M,1.46B,1.106B,,,,,
KHC,2013-06,-509.00M,1.164B,2.78B,3.00M,1.39,1.38,13.91B,8.133B,1.936B,2013-06,1.898B,829.00M,-130.00M,-130.00M,4.028B,521.00M,9.967B,1.42B,2.065B,1.268B,439.00M,4.716B,516.00M,4.30B,23.06B,0,4.819B,3.282B,18.76B,18.24B,15.48B,516.00M,1.444B,1.223B,,,,,
KHC,2013-03,-477.00M,1.181B,3.043B,3.00M,0.77,0.76,13.95B,8.182B,1.47B,2013-03,1.948B,456.00M,-123.00M,-123.00M,4.026B,296.00M,9.966B,871.00M,2.089B,686.00M,230.00M,4.513B,599.00M,3.742B,23.27B,0,4.954B,3.367B,19.52B,18.31B,16.16B,599.00M,1.463B,1.278B,,,658.00M,716.00M,757.00M
KHC,2012-12,-460.00M,1.255B,3.327B,6.00M,0.15,0.15,13.83B,8.402B,1.165B,2012-12,1.928B,90.00M,-129.00M,-129.00M,4.204B,138.00M,9.966B,300.00M,2.592B,132.00M,42.00M,4.492B,865.00M,3.572B,23.18B,0,4.823B,3.606B,19.61B,18.36B,16.00B,865.00M,1.852B,1.089B,,,,,
KHC,2012-09,-460.00M,244.00M,3.019B,7.00M,0.79,0.79,14.00B,8.359B,1.569B,2012-09,2.09B,466.00M,-106.00M,-106.00M,4.211B,2.047B,9.568B,783.00M,1.968B,664.00M,198.00M,4.588B,786.00M,7.458B,22.28B,0,3.905B,2.569B,14.83B,18.38B,12.26B,786.00M,1.51B,1.157B,,,,,
KHC,2012-06,-515.00M,3.00M,3.15B,8.00M,1.02,1.02,13.95B,8.305B,1.636B,2012-06,2.048B,603.00M,-21.00M,-21.00M,4.222B,1.62B,5.988B,949.00M,1.89B,906.00M,303.00M,4.786B,687.00M,10.96B,21.89B,0,3.634B,2.597B,10.93B,18.26B,8.334B,687.00M,1.336B,1.102B,,,,,
KHC,2012-03,-307.00M,3.00M,3.004B,8.00M,0.82,0.82,13.98B,8.257B,1.449B,2012-03,2.174B,483.00M,-2.00M,-2.00M,4.26B,1.608B,26.00M,779.00M,1.931B,751.00M,268.00M,4.453B,670.00M,17.28B,22.10B,0,3.816B,2.48B,4.82B,18.28B,2.34B,670.00M,1.35B,1.175B,,,,,
KHC,2011-12,-125.00M,0,3.62B,0,0.57,0.57,13.95B,8.169B,1.336B,2011-12,1.943B,337.00M,2.00M,2.00M,4.278B,1.594B,27.00M,530.00M,2.022B,547.00M,210.00M,4.956B,806.00M,16.59B,21.54B,0,3.272B,2.572B,4.951B,18.27B,2.379B,806.00M,1.447B,903.00M,,,,,
