Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MKTX,2021-03,-6.582M,390.92M,48.09M,5.092M,2.15,2.11,238.33M,163.88M,147.38M,2021-03,80.46M,-0.191M,-0.191M,163.88M,0,92.75M,103.47M,436.66M,101.80M,21.34M,195.46M,27.43M,988.23M,1.546B,0.123M,1.119B,436.66M,557.64M,426.52M,120.97M,43.90M,436.66M,652.41M
MKTX,2020-12,-4.65M,460.86M,36.47M,4.068M,1.95,1.91,242.74M,324.68M,134.87M,2020-12,72.93M,-0.096M,-0.096M,161.13M,0,93.61M,91.70M,220.43M,90.29M,17.36M,171.35M,27.59M,955.06M,1.331B,0.123M,899.45M,220.43M,376.37M,431.98M,155.94M,43.18M,220.43M,359.49M
MKTX,2020-09,-10.60M,331.73M,37.58M,3.95M,1.81,1.78,206.26M,158.77M,126.42M,2020-09,67.78M,-1.046M,-1.046M,158.77M,0,93.71M,87.81M,198.24M,87.96M,20.19M,164.01M,24.75M,897.54M,1.246B,0.122M,870.51M,203.33M,347.96M,374.99M,144.63M,38.62M,198.24M,462.56M
MKTX,2020-06,-14.15M,481.22M,41.64M,3.731M,2.25,2.2,206.95M,156.39M,143.16M,2020-06,83.85M,0,0,156.39M,0,94.70M,104.14M,47.53M,104.40M,20.55M,184.80M,25.01M,853.48M,1.039B,0.122M,621.54M,51.60M,185.73M,417.68M,134.14M,39.02M,47.53M,99.22M
MKTX,2020-03,-14.62M,441.64M,41.19M,3.81M,2.01,1.96,207.68M,154.58M,127.78M,2020-03,74.82M,0,0,154.58M,0,96.30M,91.09M,55.54M,91.70M,16.89M,168.98M,23.12M,797.88M,975.60M,0.122M,555.50M,59.49M,177.72M,420.10M,118.23M,36.70M,55.54M,93.57M
MKTX,2019-12,-10.27M,270.12M,33.12M,3.545M,1.35,1.32,207.85M,288.38M,96.66M,2019-12,50.27M,0,0,153.19M,0,97.99M,60.85M,39.48M,61.96M,11.68M,129.77M,24.73M,770.09M,954.93M,0.122M,363.41M,39.48M,184.84M,591.52M,145.36M,35.81M,39.48M,62.02M
MKTX,2019-09,-12.80M,436.89M,32.68M,2.81M,1.46,1.42,62.39M,141.92M,98.92M,2019-09,54.00M,0,0,141.92M,0,92.03M,65.96M,29.56M,67.34M,13.34M,131.60M,23.47M,694.62M,855.03M,0.122M,528.30M,33.29M,160.40M,326.73M,127.11M,32.95M,29.56M,72.81M
MKTX,2019-06,-11.46M,413.63M,32.62M,0,1.3,1.27,62.48M,140.93M,92.87M,2019-06,48.10M,0,0,140.93M,0,89.71M,60.88M,29.91M,62.91M,14.80M,125.49M,23.04M,661.91M,812.01M,0.122M,502.56M,33.72M,150.10M,309.45M,116.38M,31.99M,29.91M,66.33M
MKTX,2019-03,-10.82M,260.95M,32.66M,0,1.42,1.39,62.58M,139.24M,91.83M,2019-03,52.52M,0,0,139.24M,0,90.84M,63.19M,32.57M,65.22M,12.70M,124.49M,19.98M,631.15M,774.81M,0.122M,349.12M,36.12M,143.66M,425.69M,107.54M,28.64M,32.57M,70.95M
MKTX,2018-12,-12.39M,246.32M,27.80M,0,1.24,1.21,62.68M,183.64M,84.64M,2018-12,45.83M,0,0,63.01M,0,0,53.96M,45.80M,56.07M,10.24M,112.44M,22.57M,607.88M,695.54M,0.122M,326.32M,48.61M,87.66M,369.21M,39.05M,30.68M,45.80M,57.54M
MKTX,2018-09,-12.03M,210.08M,26.28M,3.785M,1.04,1.02,62.77M,54.32M,75.16M,2018-09,38.59M,0,0,54.32M,0,0,46.41M,32.26M,47.80M,9.203M,101.44M,20.82M,578.62M,646.13M,0.121M,290.68M,36.04M,67.51M,355.45M,31.47M,28.75M,32.26M,62.00M
MKTX,2018-06,-11.52M,170.69M,26.20M,3.595M,1.1,1.07,62.87M,50.09M,80.76M,2018-06,40.49M,0,0,50.09M,0,0,52.03M,33.01M,53.21M,12.72M,106.96M,20.93M,557.38M,617.60M,0.121M,253.60M,36.61M,60.22M,364.00M,23.61M,28.73M,33.01M,61.88M
MKTX,2018-03,-10.29M,156.17M,28.83M,3.554M,1.3,1.27,62.96M,39.62M,85.88M,2018-03,47.94M,0,0,39.62M,0,0,60.17M,32.94M,61.01M,13.07M,114.71M,18.71M,537.16M,589.27M,0.121M,241.59M,36.50M,52.11M,347.69M,15.61M,25.71M,32.94M,67.53M
MKTX,2017-12,-10.23M,167.01M,24.22M,2.66M,0.91,0.88,63.06M,140.01M,74.34M,2017-12,33.47M,0,0,38.55M,0,0,48.84M,27.30M,49.37M,15.90M,98.56M,18.81M,514.77M,581.23M,0.121M,238.37M,29.96M,66.46M,342.86M,36.50M,25.50M,27.30M,52.64M
MKTX,2017-09,-10.15M,138.99M,25.48M,3.191M,0.93,0.9,63.16M,35.32M,70.10M,2017-09,34.13M,0,0,35.32M,0,0,46.64M,17.22M,47.22M,13.09M,95.58M,17.40M,510.91M,562.35M,0.121M,218.19M,20.41M,51.44M,344.15M,31.03M,23.46M,17.22M,63.03M
MKTX,2017-06,-11.28M,128.14M,25.32M,3.076M,1.03,1,63.25M,34.64M,71.84M,2017-06,38.02M,0,0,34.64M,0,0,49.82M,19.66M,49.57M,11.55M,97.15M,15.70M,501.23M,547.04M,0.121M,204.42M,22.73M,45.81M,342.62M,23.08M,22.01M,19.66M,55.22M
MKTX,2017-03,-12.57M,137.66M,27.28M,3.19M,1.15,1.11,63.35M,33.89M,76.43M,2017-03,42.46M,0,0,33.89M,0,0,55.90M,31.30M,55.61M,13.14M,103.71M,14.50M,482.36M,530.71M,0.121M,208.09M,34.49M,48.36M,322.62M,13.87M,20.52M,31.30M,56.64M
MKTX,2016-12,-12.23M,168.24M,22.37M,2.515M,0.9,0.88,63.44M,106.28M,69.88M,2016-12,33.16M,0,0,31.10M,0,0,48.71M,22.73M,50.33M,17.16M,92.25M,15.57M,468.01M,528.04M,0.12M,230.53M,25.25M,60.03M,297.51M,34.78M,21.17M,22.73M,50.67M
MKTX,2016-09,-10.14M,161.44M,23.91M,3.006M,0.84,0.82,63.54M,30.77M,66.36M,2016-09,30.92M,0,0,30.77M,0,0,46.35M,18.90M,46.35M,15.44M,90.27M,14.64M,451.70M,502.15M,0.12M,229.78M,21.90M,50.45M,272.37M,28.55M,20.00M,18.90M,56.58M
MKTX,2016-06,-9.049M,153.28M,25.82M,2.606M,0.9,0.88,63.64M,31.50M,70.82M,2016-06,33.13M,0,0,31.50M,0,0,50.55M,18.15M,50.55M,17.42M,96.64M,13.78M,436.15M,477.12M,0.12M,229.60M,20.75M,40.96M,247.52M,20.21M,20.27M,18.15M,62.86M
MKTX,2016-03,-7.279M,138.00M,24.53M,2.602M,0.79,0.77,63.73M,32.09M,64.05M,2016-03,28.96M,0,0,32.09M,0,0,44.37M,27.91M,44.37M,15.41M,88.57M,13.23M,410.42M,451.84M,0.121M,203.59M,30.52M,41.43M,248.25M,10.91M,19.68M,27.91M,52.76M
MKTX,2015-12,-5.229M,199.73M,21.09M,2.312M,0.67,0.65,64.14M,100.88M,55.56M,2015-12,24.49M,0,0,30.90M,0,0,36.99M,16.72M,36.99M,12.50M,76.64M,10.57M,390.71M,439.04M,0.121M,250.07M,19.03M,48.33M,188.97M,29.30M,18.57M,16.72M,40.46M
MKTX,2015-09,-4.969M,255.89M,21.00M,2.215M,0.62,0.6,64.71M,31.03M,53.19M,2015-09,22.72M,0,0,31.03M,0,0,35.35M,17.80M,35.35M,12.64M,74.19M,13.20M,373.47M,416.32M,0.12M,312.34M,20.01M,42.85M,103.98M,22.84M,17.84M,17.80M,49.28M
MKTX,2015-06,-4.859M,236.78M,20.59M,2.65M,0.66,0.64,65.28M,31.29M,54.90M,2015-06,24.24M,0,0,31.29M,0,0,37.06M,20.33M,37.06M,12.82M,75.49M,13.24M,359.86M,398.95M,0.12M,296.31M,22.98M,39.09M,102.63M,16.11M,17.84M,20.33M,46.94M
MKTX,2015-03,-4.523M,223.24M,21.17M,2.725M,0.67,0.65,65.85M,31.19M,55.60M,2015-03,24.59M,0,0,31.19M,0,0,38.50M,22.34M,38.50M,13.91M,76.77M,12.48M,344.67M,378.69M,0.12M,276.51M,25.06M,34.02M,102.18M,8.96M,17.10M,22.34M,46.06M
MKTX,2014-12,-4.537M,233.79M,19.38M,2.465M,0.59,0.57,66.42M,88.67M,50.79M,2014-12,21.64M,0,0,32.18M,0,0,33.49M,17.90M,33.49M,11.85M,70.17M,12.88M,334.21M,379.88M,0.12M,274.31M,20.37M,45.68M,105.58M,25.31M,17.30M,17.90M,33.84M
MKTX,2014-09,-4.58M,212.12M,18.59M,3.271M,0.47,0.46,66.99M,32.80M,45.66M,2014-09,17.50M,0,0,32.80M,0,0,28.27M,14.95M,28.27M,10.76M,64.24M,12.91M,326.30M,362.91M,0.12M,257.87M,18.22M,36.61M,105.04M,18.38M,17.39M,14.95M,36.95M
MKTX,2014-06,-4.43M,198.90M,18.42M,2.95M,0.49,0.48,67.56M,34.40M,46.54M,2014-06,18.19M,0,0,34.40M,0,0,29.07M,18.59M,29.07M,10.88M,64.96M,13.12M,322.98M,356.72M,0.119M,252.15M,21.54M,33.74M,104.57M,12.20M,17.47M,18.59M,40.90M
MKTX,2014-03,-4.287M,193.53M,18.61M,2.722M,0.47,0.46,68.13M,33.39M,44.79M,2014-03,17.48M,0,0,33.39M,0,0,27.71M,19.21M,27.71M,10.23M,63.40M,12.96M,318.26M,346.37M,0.119M,241.94M,21.93M,28.11M,104.44M,6.183M,17.08M,19.21M,39.08M
MKTX,2013-12,-4.083M,200.43M,16.77M,2.713M,0.63,0.61,68.70M,76.82M,43.67M,2013-12,23.13M,0,0,32.70M,0,0,24.80M,16.83M,24.80M,9.329M,60.44M,14.90M,310.36M,353.91M,0.119M,245.23M,19.55M,43.55M,108.68M,24.00M,18.88M,16.83M,34.16M
MKTX,2013-09,-3.931M,177.45M,17.91M,3.106M,0.49,0.48,69.51M,27.62M,43.22M,2013-09,18.21M,0,0,27.62M,0,0,26.39M,20.43M,26.39M,8.129M,61.13M,13.38M,286.62M,332.69M,0.119M,231.25M,26.84M,46.07M,101.44M,19.23M,16.84M,20.43M,36.88M
MKTX,2013-06,-3.565M,149.95M,14.71M,5.437M,0.52,0.51,71.45M,26.44M,48.80M,2013-06,19.34M,0,0,26.44M,0,0,31.42M,16.87M,31.42M,12.13M,63.51M,12.97M,270.56M,305.38M,0.119M,202.98M,22.30M,34.81M,102.40M,12.51M,17.37M,16.87M,41.83M
MKTX,2013-03,-3.483M,142.98M,15.02M,5.398M,0.42,0.41,72.12M,18.74M,38.64M,2013-03,15.33M,0,0,18.74M,0,0,24.67M,19.23M,24.67M,9.126M,53.65M,11.68M,252.50M,282.88M,0.119M,187.38M,24.63M,30.38M,95.50M,5.751M,13.96M,19.23M,35.47M
MKTX,2012-12,-3.093M,180.12M,13.13M,4.864M,0.56,0.54,33.13M,55.92M,35.45M,2012-12,20.46M,0,0,18.01M,0,0,22.19M,12.34M,22.19M,1.264M,48.58M,11.29M,242.72M,279.84M,0.118M,219.26M,17.21M,37.12M,60.58M,19.92M,13.26M,12.34M,31.04M
MKTX,2012-09,-2.817M,204.28M,13.38M,5.064M,0.37,0.36,33.48M,44.93M,33.02M,2012-09,13.48M,0,0,18.47M,0,0,21.50M,12.50M,21.50M,7.792M,46.40M,9.807M,271.93M,304.93M,0.118M,244.40M,32.99M,32.99M,60.53M,0,11.52M,12.27M,33.41M
MKTX,2012-06,-2.417M,188.19M,15.30M,5.126M,0.35,0.34,33.84M,0,33.52M,2012-06,12.63M,0,0,14.96M,0,0,21.20M,12.36M,21.20M,8.571M,48.82M,10.36M,261.74M,289.73M,0.118M,227.22M,27.99M,27.99M,62.51M,0,12.32M,0,33.21M
MKTX,2012-03,-2.213M,179.90M,15.84M,5.229M,0.37,0.35,34.19M,0,34.89M,2012-03,13.49M,0,0,14.88M,0,0,22.75M,14.55M,22.75M,9.255M,50.74M,10.29M,248.92M,274.51M,0.115M,218.62M,25.59M,25.59M,55.89M,0,12.15M,0,33.04M
MKTX,2011-12,-1.882M,247.73M,52.44M,5.326M,0.31,0.29,34.54M,0,-16.53M,2011-12,11.54M,0,0,14.46M,0,0,21.58M,12.27M,21.58M,8.297M,35.91M,-38.33M,312.44M,349.46M,0.122M,292.36M,17.59M,37.02M,57.09M,19.42M,-38.12M,0,36.17M
MKTX,2011-09,-1.692M,237.82M,0,5.037M,0.36,0.34,34.91M,0,46.56M,2011-09,13.44M,0,0,14.08M,0,0,22.30M,12.66M,22.30M,8.852M,46.56M,22.47M,305.83M,339.20M,0.11M,269.68M,33.37M,33.37M,69.52M,0,24.27M,0,31.86M
MKTX,2011-06,-1.693M,211.46M,0,4.443M,0.32,0.3,35.28M,0,45.79M,2011-06,11.94M,0,0,13.41M,0,0,19.90M,12.04M,19.90M,7.968M,45.79M,24.26M,292.86M,321.27M,0.119M,260.25M,28.41M,28.41M,61.01M,0,25.89M,0,34.49M
