Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NLFX,2021-03,4.137M,8.404B,3.869B,698.79M,1.140B,3.85,3.75,26.04B,1.536B,3.295B,2021-03,0,1.707B,74.65M,74.65M,1.015B,14.86B,1.960B,1.825B,2.035B,327.79M,0,7.163B,1.335B,12.88B,40.12B,3.600B,10.11B,7.962B,27.24B,30.02B,19.28B,1.335B,532.94M,807.04M
NLFX,2020-12,44.40M,8.206B,4.165B,499.88M,1.118B,1.23,1.19,25.38B,1.455B,2.479B,2020-12,0,542.16M,-447.82M,-447.82M,960.18M,15.81B,954.24M,1.758B,506.42M,-35.74M,0,6.644B,1.525B,11.07B,39.28B,3.448B,9.762B,7.806B,28.22B,29.52B,20.41B,1.525B,656.18M,610.82M
NLFX,2020-09,-1.147M,8.392B,3.868B,499.52M,1.040B,1.79,1.74,25.07B,1.302B,2.568B,2020-09,0,789.98M,-453.40M,-453.40M,828.12M,15.55B,1.315B,1.800B,861.46M,71.48M,0,6.436B,1.253B,10.33B,38.62B,3.303B,9.826B,7.940B,28.29B,28.80B,20.35B,1.253B,541.30M,604.79M
NLFX,2020-06,-34.07M,7.153B,3.644B,499.16M,1.029B,1.63,1.59,25.16B,1.212B,2.505B,2020-06,0,720.20M,-322.33M,-322.33M,751.94M,15.29B,1.358B,1.433B,1.036B,315.41M,0,6.148B,1.147B,9.335B,37.18B,3.128B,8.564B,7.626B,27.84B,28.61B,20.21B,1.147B,446.67M,565.67M
NLFX,2020-03,-47.05M,5.152B,3.600B,498.81M,986.75M,1.61,1.57,25.27B,1.087B,2.168B,2020-03,0,709.07M,-162.39M,-162.39M,650.46M,14.17B,958.26M,1.607B,795.87M,86.80M,0,5.768B,1.210B,8.409B,35.06B,2.936B,6.448B,7.854B,26.65B,28.61B,18.80B,1.210B,545.49M,1.082B
NLFX,2019-12,-23.52M,5.018B,3.466B,0,924.74M,1.34,1.3,24.50B,981.23M,2.001B,2019-12,0,586.97M,-309.18M,-309.18M,565.22M,14.76B,458.51M,1.517B,149.33M,-437.64M,0,5.467B,1.543B,7.582B,33.98B,2.794B,6.179B,6.856B,26.39B,27.80B,19.54B,1.543B,674.35M,454.40M
NLFX,2019-09,-41.25M,4.435B,3.098B,0,915.51M,1.52,1.47,23.23B,884.60M,2.147B,2019-09,0,665.24M,32.08M,32.08M,481.99M,12.43B,980.24M,1.482B,1.012B,347.08M,0,5.245B,1.167B,6.862B,30.94B,2.678B,5.328B,7.258B,24.08B,25.61B,16.82B,1.167B,444.13M,466.17M
NLFX,2019-06,-20.35M,5.004B,3.006B,0,892.78M,0.62,0.6,21.95B,837.51M,1.917B,2019-06,0,270.65M,-205.50M,-205.50M,452.40M,12.59B,706.42M,1.193B,500.92M,230.27M,0,4.923B,1.211B,6.106B,30.17B,2.566B,5.877B,6.934B,24.07B,24.29B,17.13B,1.211B,442.19M,492.03M
NLFX,2019-03,-25.60M,3.349B,2.871B,0,808.69M,0.79,0.76,20.89B,805.40M,1.650B,2019-03,0,344.05M,-59.42M,-59.42M,434.37M,10.31B,459.08M,1.186B,399.66M,55.61M,0,4.521B,1.191B,5.703B,27.22B,2.440B,4.169B,6.858B,21.52B,23.05B,14.66B,1.191B,439.50M,432.96M
NLFX,2018-12,-19.58M,3.794B,2.733B,0,760.90M,0.31,0.3,14.95B,786.80M,1.453B,2018-12,0,133.93M,-96.37M,-96.37M,418.28M,10.36B,215.77M,1.045B,119.40M,-14.54M,0,4.187B,1.238B,5.239B,25.97B,2.316B,9.694B,6.487B,20.74B,16.28B,14.25B,1.238B,562.98M,569.63M
NLFX,2018-09,-14.51M,3.068B,2.531B,0,716.72M,0.92,0.89,13.41B,727.12M,1.468B,2018-09,0,402.84M,-101.86M,-101.86M,371.15M,8.337B,480.67M,968.51M,378.81M,-24.02M,0,3.999B,987.58M,5.010B,23.37B,2.216B,8.730B,6.298B,18.36B,14.64B,12.06B,987.58M,441.43M,0
NLFX,2018-06,-12.43M,3.906B,2.402B,0,697.74M,0.88,0.85,12.29B,689.94M,1.505B,2018-06,0,384.35M,-33.58M,-33.58M,349.65M,8.342B,462.21M,840.81M,428.64M,44.29M,0,3.907B,1.043B,4.497B,22.66B,2.103B,9.347B,6.080B,18.17B,13.32B,12.09B,1.043B,448.22M,0
NLFX,2018-03,4.264M,2.594B,2.301B,0,673.89M,0.67,0.64,11.31B,679.80M,1.400B,2018-03,0,290.12M,-146.96M,-146.96M,341.93M,6.542B,446.58M,865.61M,299.62M,9.492M,0,3.701B,953.70M,4.021B,20.15B,1.995B,7.818B,6.006B,16.13B,12.34B,10.13B,953.70M,436.18M,0
NLFX,2017-12,-20.56M,2.823B,2.481B,0,618.62M,0.43,0.41,10.37B,641.22M,805.07M,2017-12,0,185.52M,-113.97M,-113.97M,319.40M,6.499B,245.30M,674.65M,131.33M,-54.19M,0,3.286B,559.76M,3.582B,19.01B,1.871B,7.670B,5.466B,15.43B,11.34B,9.964B,559.76M,359.56M,0
NLFX,2017-09,-25.36M,1.746B,1.993B,0,535.42M,0.3,0.29,9.740B,644.22M,991.88M,2017-09,0,129.59M,-92.39M,-92.39M,322.42M,4.889B,208.63M,633.17M,116.24M,-13.35M,0,2.985B,783.25M,3.327B,16.95B,1.807B,6.385B,5.311B,13.62B,10.57B,8.314B,783.25M,301.44M,0
NLFX,2017-06,-31.37M,2.165B,1.902B,0,505.30M,0.15,0.15,9.078B,615.88M,883.16M,2017-06,0,65.60M,-113.84M,-113.84M,309.83M,4.837B,127.81M,522.27M,13.96M,-51.64M,0,2.785B,755.35M,3.112B,16.52B,1.728B,6.701B,5.123B,13.40B,9.816B,8.282B,755.35M,273.40M,0
NLFX,2017-03,-45.86M,1.341B,1.657B,0,458.69M,0.41,0.4,8.029B,566.68M,979.61M,2017-03,0,178.22M,-33.15M,-33.15M,275.08M,3.365B,256.94M,591.09M,223.79M,45.57M,0,2.637B,722.67M,2.974B,14.36B,1.669B,5.660B,4.911B,11.39B,8.699B,6.474B,722.67M,294.83M,0
NLFX,2016-12,-48.56M,1.734B,1.882B,0,443.47M,0.16,0.15,7.275B,544.60M,595.56M,2016-12,0,66.75M,-63.66M,-63.66M,250.40M,3.364B,153.93M,510.47M,90.27M,23.52M,0,2.478B,441.63M,2.680B,13.59B,1.600B,5.720B,4.587B,10.91B,7.866B,6.320B,441.63M,312.84M,0
NLFX,2016-09,-36.53M,1.343B,1.533B,0,427.21M,0.12,0.12,6.678B,505.96M,757.34M,2016-09,0,51.52M,-26.91M,-26.91M,191.88M,2.374B,106.04M,486.98M,79.13M,27.61M,0,2.290B,651.31M,2.529B,12.35B,1.504B,5.194B,4.411B,9.818B,7.153B,5.407B,651.31M,285.75M,0
NLFX,2016-06,-38.21M,1.834B,1.473B,0,396.98M,0.1,0.09,5.743B,474.21M,632.11M,2016-06,0,40.76M,-19.14M,-19.14M,162.86M,2.373B,70.37M,412.53M,51.23M,10.48M,0,2.105B,561.74M,2.416B,11.59B,1.444B,5.387B,4.052B,9.178B,6.207B,5.126B,561.74M,240.46M,0
NLFX,2016-03,-34.40M,2.072B,1.370B,0,374.22M,0.06,0.06,5.260B,471.50M,588.20M,2016-03,0,27.66M,-9.574M,-9.574M,166.25M,2.372B,49.45M,413.55M,39.88M,12.22M,0,1.958B,538.74M,2.317B,11.26B,1.382B,5.544B,3.934B,8.945B,5.718B,5.011B,538.74M,231.91M,0
NLFX,2015-12,-43.31M,2.311B,1.249B,0,346.72M,0.1,0.1,4.313B,470.76M,573.97M,2015-12,0,43.18M,-39.16M,-39.16M,173.41M,2.371B,59.89M,393.88M,20.73M,-22.45M,0,1.823B,514.07M,2.223B,10.20B,1.325B,5.432B,3.530B,7.979B,4.771B,4.450B,514.07M,253.49M,0
NLFX,2015-09,-37.89M,2.610B,1.174B,0,329.74M,0.07,0.07,3.892B,472.30M,564.40M,2015-09,0,29.43M,-31.40M,-31.40M,181.27M,2.40B,73.64M,388.72M,42.24M,12.81M,0,1.738B,490.76M,2.167B,9.916B,1.306B,5.570B,3.341B,7.749B,4.347B,4.408B,490.76M,209.36M,0
NLFX,2015-06,-38.12M,2.797B,1.122B,0,301.75M,0.06,0.06,3.641B,453.17M,522.94M,2015-06,0,26.34M,-34.34M,-34.34M,171.40M,2.40B,74.84M,362.14M,40.49M,14.16M,0,1.645B,448.11M,2.032B,9.655B,1.201B,5.601B,3.220B,7.623B,4.054B,4.403B,448.11M,211.73M,0
NLFX,2015-03,-43.15M,2.958B,1.046B,0,285.34M,0.06,0.05,3.312B,423.06M,526.73M,2015-03,0,23.70M,-59.03M,-59.03M,145.82M,2.40B,97.46M,297.89M,38.43M,14.73M,0,1.573B,429.27M,1.909B,9.241B,0.061M,5.539B,3.009B,7.331B,3.702B,4.323B,429.27M,190.57M,0
NLFX,2014-12,-4.446M,1.608B,1.014B,0,274.59M,0.1971,0.1929,2.773B,414.69M,470.40M,2014-12,0,83.37M,-19.53M,-19.53M,149.88M,885.85M,65.05M,271.33M,45.52M,-37.86M,0,1.485B,405.35M,1.858B,7.042B,1.043B,3.927B,2.663B,5.185B,3.115B,2.522B,405.35M,201.58M,0
NLFX,2014-09,1.645M,1.667B,954.39M,0,252.96M,0.14,0.14,2.632B,396.55M,455.04M,2014-09,0,59.30M,-12.87M,-12.87M,144.15M,900.00M,110.41M,220.93M,97.54M,38.24M,0,1.409B,344.63M,1.725B,6.778B,0.06M,3.823B,2.549B,5.053B,2.955B,2.505B,344.63M,150.37M,0
NLFX,2014-06,6.502M,1.714B,914.85M,0,241.33M,0.17,0.16,2.349B,386.80M,425.56M,2014-06,0,71.02M,-12.23M,-12.23M,141.72M,900.00M,129.60M,235.77M,117.37M,46.35M,0,1.340B,295.96M,1.610B,6.326B,0.06M,3.668B,2.335B,4.716B,2.657B,2.381B,295.96M,137.23M,0
NLFX,2014-03,4.503M,1.668B,869.19M,0,230.02M,0.1271,0.1229,2.179B,368.10M,400.90M,2014-03,0,53.12M,-8.651M,-8.651M,133.47M,900.00M,97.60M,188.74M,88.94M,35.83M,0,1.270B,303.31M,1.478B,6.048B,0.06M,3.587B,2.264B,4.570B,2.461B,2.306B,303.31M,133.88M,0
NLFX,2013-12,3.575M,1.200B,820.68M,0,215.77M,0.1157,0.1129,2.091B,357.20M,354.55M,2013-12,0,48.42M,-8.284M,-8.284M,133.60M,500.00M,82.29M,162.45M,74.00M,25.58M,0,1.175B,272.26M,1.334B,5.413B,0.06M,3.059B,2.154B,4.079B,2.354B,1.925B,272.26M,108.44M,0
NLFX,2013-09,1.57M,1.135B,798.90M,2.259M,195.82M,0.0771,0.0743,1.808B,344.42M,307.10M,2013-09,1.336B,31.82M,-7.629M,-7.629M,127.26M,500.00M,57.12M,147.33M,49.49M,17.67M,69.48M,1.106B,249.98M,1.204B,4.901B,0.059M,2.849B,1.935B,3.697B,2.052B,1.762B,249.98M,100.90M,0
NLFX,2013-06,-1.664M,1.080B,760.67M,2.199M,186.57M,0.0729,0.07,1.682B,347.70M,308.70M,2013-06,1.224B,29.47M,-10.47M,-10.47M,127.93M,500.00M,57.12M,162.48M,46.65M,17.18M,57.86M,1.069B,251.58M,1.106B,4.481B,0.059M,2.570B,1.670B,3.375B,1.910B,1.705B,251.58M,103.44M,0
NLFX,2013-03,0.291M,1.026B,736.95M,0,178.88M,0.0071,0.0071,1.577B,337.75M,287.01M,2013-03,1.155B,2.689M,-5.763M,-5.763M,129.32M,700.00M,31.82M,154.83M,0.93M,-1.759M,0,1.024B,255.19M,812.92M,4.363B,0.056M,2.557B,1.689B,3.550B,1.806B,1.862B,255.19M,102.82M,0
NLFX,2012-12,2.919M,748.08M,722.06M,0,169.47M,0.02,0.0186,1.506B,336.04M,223.18M,2012-12,705.40M,7.897M,-4.734M,-4.734M,131.68M,400.00M,19.64M,139.61M,14.90M,7.007M,0,945.24M,203.54M,744.67M,3.968B,0.056M,2.241B,1.676B,3.223B,1.727B,1.547B,203.54M,86.47M,0
NLFX,2012-09,3.006M,798.36M,662.64M,0,155.15M,0.02,0.0186,1.367B,329.83M,242.45M,2012-09,499.43M,7.675M,-4.189M,-4.189M,133.60M,400.00M,16.14M,162.19M,11.95M,4.271M,0,905.09M,226.32M,716.84M,3.809B,0.056M,2.225B,1.598B,3.092B,1.584B,1.494B,226.32M,91.51M,0
NLFX,2012-06,0.961M,813.34M,643.43M,0,152.79M,0.0157,0.0157,1.047B,310.30M,245.74M,2012-06,0,6.164M,-5.499M,-5.499M,124.64M,400.00M,16.15M,141.84M,10.66M,4.491M,0,889.16M,229.58M,688.23M,3.478B,0.056M,2.138B,1.499B,2.790B,1.341B,1.291B,229.58M,90.96M,0
NLFX,2012-03,1.577M,804.53M,623.93M,0,150.60M,-0.0114,-0.0114,570.21M,306.28M,245.86M,2012-03,0,-4.584M,-5.09M,-5.09M,128.20M,400.00M,-1.935M,132.22M,-7.025M,-2.441M,0,869.79M,247.79M,663.40M,3.480B,0.055M,2.059B,1.447B,2.817B,1.422B,1.370B,247.79M,83.12M,0
NLFX,2011-12,0.706M,797.81M,575.16M,0,148.80M,0.1086,0.1043,425.25M,306.04M,300.42M,2011-12,0,35.22M,-5.037M,-5.037M,136.35M,400.00M,61.87M,141.22M,56.84M,21.62M,0,875.58M,416.80M,642.81M,3.069B,0.055M,1.831B,1.225B,2.426B,1.238B,1.201B,238.55M,86.99M,0
NLFX,2011-09,0.588M,365.77M,536.62M,0,160.93M,0.17,0.1657,0,305.34M,285.22M,2011-09,0,62.46M,-3.219M,-3.219M,143.99M,232.40M,96.84M,804.78M,93.62M,31.16M,0,821.84M,118.90M,388.35M,1.962B,0.053M,1.190B,967.97M,1.573B,771.44M,605.24M,188.38M,750.11M,0
NLFX,2011-06,0.884M,376.41M,489.98M,0,146.94M,0.1857,0.18,0,288.14M,298.63M,2011-06,0,68.21M,-4.29M,-4.29M,136.95M,232.99M,115.11M,577.57M,110.82M,42.61M,0,788.61M,125.65M,334.03M,1.571B,0.053M,969.44M,726.71M,1.237B,601.25M,509.95M,183.52M,533.44M,0
