Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,2011-12,2011-09
NWS,2020-12,-990.00M,1.562B,0,343.00M,400.00M,0.39,0.39,6.226B,3.389B,0,2020-12,203.00M,231.00M,-12.00M,-12.00M,3.389B,339.00M,2.204B,330.00M,1.611B,346.00M,85.00M,2.414B,719.00M,8.131B,15.09B,6.00M,3.596B,2.861B,6.02B,11.50B,3.159B,2.084B,517.00M,1.444B,,
NWS,2020-09,-1.235B,1.539B,0,202.00M,409.00M,0.06,0.06,5.866B,3.273B,0,2020-09,203.00M,34.00M,-8.00M,-8.00M,3.273B,263.00M,2.341B,104.00M,1.646B,72.00M,25.00M,2.117B,685.00M,7.639B,14.40B,6.00M,3.435B,2.738B,5.946B,10.96B,3.208B,2.013B,586.00M,1.24B,,
NWS,2020-06,-1.331B,1.517B,0,207.00M,398.00M,-0.67,-0.67,5.815B,6.984B,0,2020-06,348.00M,-397.00M,-12.00M,-12.00M,3.317B,258.00M,2.329B,35.00M,1.589B,-401.00M,0,1.923B,696.00M,7.582B,14.26B,6.00M,3.461B,2.682B,5.872B,10.80B,3.19B,1.888B,570.00M,1.203B,,
NWS,2020-03,-1.466B,1.388B,0,156.00M,387.00M,-1.24,-1.24,5.677B,3.416B,0,2020-03,363.00M,-730.00M,-9.00M,-9.00M,3.416B,238.00M,2.364B,82.00M,1.531B,-1.046B,-10.00M,2.266B,743.00M,7.832B,14.43B,6.00M,3.741B,2.689B,5.86B,10.69B,3.171B,2.184B,550.00M,1.237B,,
NWS,2019-12,-1.117B,1.272B,0,183.00M,411.00M,0.15,0.14,7.233B,3.775B,0,2019-12,358.00M,85.00M,-8.00M,-8.00M,3.775B,268.00M,2.544B,193.00M,1.684B,155.00M,52.00M,2.479B,773.00M,8.958B,16.28B,6.00M,3.718B,2.727B,6.155B,12.56B,3.428B,2.286B,612.00M,1.57B,,
NWS,2019-09,-1.266B,1.441B,0,804.00M,448.00M,-0.39,-0.39,7.124B,3.723B,0,2019-09,402.00M,-227.00M,4.00M,4.00M,3.723B,274.00M,2.036B,59.00M,1.823B,-232.00M,-21.00M,2.34B,781.00M,8.714B,16.23B,6.00M,3.799B,3.492B,6.404B,12.43B,2.912B,2.281B,656.00M,1.54B,0.1262,0.0657
NWS,2019-06,-1.126B,1.643B,0,449.00M,428.00M,-0.09,-0.09,7.573B,6.078B,0,2019-06,348.00M,-51.00M,-14.00M,-14.00M,2.554B,295.00M,1.004B,104.00M,1.972B,-28.00M,14.00M,2.466B,782.00M,9.144B,15.71B,6.00M,4.05B,3.34B,5.40B,11.66B,2.06B,2.362B,644.00M,1.544B,0.1262,0.0657
NWS,2019-03,-1.019B,1.648B,0,678.00M,460.00M,0.02,0.02,7.737B,0,0,2019-03,404.00M,10.00M,-14.00M,-14.00M,2.557B,321.00M,868.00M,79.00M,2.052B,30.00M,7.00M,2.457B,810.00M,9.289B,16.06B,6.00M,4.247B,3.679B,5.60B,11.81B,1.921B,2.378B,688.00M,1.631B,,
NWS,2018-12,-1.076B,1.618B,0,744.00M,430.00M,0.16,0.16,7.796B,0,0,2018-12,400.00M,95.00M,-15.00M,-15.00M,2.517B,384.00M,936.00M,207.00M,2.109B,174.00M,55.00M,2.627B,773.00M,9.264B,16.23B,6.00M,4.429B,3.712B,5.793B,11.80B,2.081B,2.42B,866.00M,1.853B,,
NWS,2018-09,-970.00M,1.886B,0,671.00M,436.00M,0.17,0.17,7.76B,0,0,2018-09,388.00M,101.00M,-16.00M,-16.00M,2.512B,401.00M,1.186B,195.00M,2.012B,178.00M,50.00M,2.524B,826.00M,9.261B,16.29B,6.00M,4.469B,3.545B,5.858B,11.82B,2.313B,2.329B,754.00M,1.648B,,
NWS,2018-06,-874.00M,2.034B,0,462.00M,516.00M,-0.64,-0.64,7.889B,5.912B,0,2018-06,376.00M,-371.00M,-16.00M,-16.00M,2.56B,389.00M,1.49B,139.00M,2.149B,-292.00M,63.00M,2.693B,914.00M,9.311B,16.35B,26.00M,4.394B,3.295B,5.849B,11.95B,2.554B,2.554B,809.00M,1.612B,2011-12,2011-09
NWS,2018-03,-829.00M,2.112B,0,92.00M,448.00M,-1.94,-1.94,5.95B,4.963B,0,2018-03,224.00M,-1.128B,2.00M,2.00M,1.642B,55.00M,184.00M,81.00M,1.68B,-1.107B,3.00M,2.093B,761.00M,9.715B,13.37B,26.00M,3.986B,2.467B,3.361B,9.386B,894.00M,2.012B,457.00M,1.387B,,
NWS,2017-12,-832.00M,1.856B,0,94.00M,390.00M,-0.14,-0.14,6.198B,4.929B,0,2017-12,216.00M,-83.00M,1.00M,1.00M,1.631B,59.00M,187.00M,228.00M,1.547B,169.00M,235.00M,2.18B,713.00M,10.88B,14.36B,26.00M,3.718B,2.27B,3.181B,10.64B,911.00M,1.952B,434.00M,1.431B,73.00M,38.00M
NWS,2017-09,-852.00M,1.877B,0,105.00M,448.00M,0.12,0.12,6.223B,0,0,2017-09,225.00M,68.00M,6.00M,6.00M,1.636B,73.00M,281.00M,151.00M,1.586B,141.00M,54.00M,2.058B,661.00M,10.93B,14.66B,26.00M,3.768B,2.417B,3.446B,10.89B,1.029B,1.907B,440.00M,1.424B,14.00M,16.00M
NWS,2017-06,-964.00M,2.016B,0,103.00M,426.00M,-0.74,-0.74,6.119B,0,0,2017-06,208.00M,-429.00M,9.00M,9.00M,1.624B,61.00M,276.00M,112.00M,1.617B,-408.00M,16.00M,2.08B,723.00M,10.81B,14.55B,26.00M,3.815B,2.452B,3.459B,10.74B,1.007B,1.968B,413.00M,1.276B,14.00M,16.00M
NWS,2017-03,-1.045B,1.85B,0,103.00M,435.00M,-0.01,-0.01,6.175B,0,0,2017-03,228.00M,-5.00M,8.00M,8.00M,1.961B,82.00M,273.00M,106.00M,1.664B,45.00M,45.00M,1.978B,662.00M,11.16B,14.89B,26.00M,3.762B,2.461B,3.449B,11.12B,988.00M,1.872B,450.00M,1.386B,,
NWS,2016-12,-1.289B,1.564B,0,87.00M,404.00M,-0.5,-0.5,6.089B,0,0,2016-12,226.00M,-289.00M,15.00M,15.00M,1.981B,40.00M,268.00M,205.00M,1.584B,-251.00M,-32.00M,2.116B,665.00M,10.98B,14.53B,26.00M,3.591B,2.325B,3.279B,10.94B,954.00M,1.911B,463.00M,1.581B,,
NWS,2016-09,-986.00M,1.499B,0,3.00M,401.00M,-0.03,-0.03,6.27B,0,0,2016-09,233.00M,-15.00M,7.00M,7.00M,2.367B,171.00M,377.00M,10.00M,1.616B,-1.00M,-1.00M,1.965B,678.00M,11.55B,15.27B,26.00M,3.328B,2.287B,3.503B,11.94B,1.216B,1.955B,480.00M,1.352B,,
NWS,2016-06,-1.026B,1.832B,0,0,388.00M,0.15,0.15,5.921B,0,0,2016-06,218.00M,90.00M,9.00M,9.00M,2.405B,171.00M,369.00M,104.00M,1.80B,200.00M,86.00M,2.226B,735.00M,11.58B,15.48B,26.00M,3.889B,2.442B,3.681B,11.59B,1.239B,2.122B,429.00M,1.284B,117.00M,83.00M
NWS,2016-03,-845.00M,1.972B,0,0,378.00M,-0.26,-0.26,5.91B,0,0,2016-03,367.00M,-149.00M,11.00M,11.00M,2.499B,200.00M,369.00M,32.00M,1.904B,-226.00M,-98.00M,1.891B,649.00M,11.67B,15.72B,26.00M,3.905B,2.648B,3.851B,11.81B,1.203B,1.859B,465.00M,1.313B,,
NWS,2015-12,-923.00M,1.883B,0,0,337.00M,0.11,0.11,5.254B,5.183B,0,2015-12,254.00M,63.00M,11.00M,11.00M,2.554B,145.00M,0,157.00M,1.585B,155.00M,49.00M,2.161B,688.00M,11.81B,14.88B,26.00M,3.795B,2.096B,2.876B,11.08B,780.00M,2.004B,477.00M,1.409B,124.00M,66.00M
NWS,2015-09,-1.025B,1.898B,0,0,354.00M,0.3,0.3,5.155B,5.632B,0,2015-09,293.00M,175.00M,12.00M,12.00M,2.553B,171.00M,0,44.00M,1.636B,52.00M,-91.00M,2.014B,650.00M,11.64B,14.76B,26.00M,3.889B,2.166B,2.955B,10.87B,789.00M,1.97B,503.00M,1.361B,41.00M,21.00M
NWS,2015-06,-582.00M,1.951B,0,0,346.00M,-0.65,-0.65,5.266B,0,0,2015-06,299.00M,-378.00M,14.00M,14.00M,2.69B,166.00M,0,92.00M,1.553B,68.00M,48.00M,2.117B,687.00M,11.96B,15.04B,26.00M,4.014B,2.11B,2.899B,11.02B,789.00M,2.025B,428.00M,1.346B,2.225B,2.165B
NWS,2015-03,-554.00M,2.027B,0,0,438.00M,0.04,0.04,5.823B,0,0,2015-03,370.00M,23.00M,12.00M,12.00M,2.699B,295.00M,0,60.00M,1.59B,81.00M,25.00M,2.041B,653.00M,12.39B,15.69B,26.00M,4.088B,2.273B,3.14B,11.60B,867.00M,1.981B,469.00M,1.36B,703.00M,663.00M
NWS,2014-12,-261.00M,1.918B,0,0,457.00M,0.24,0.24,5.926B,0,0,2014-12,274.00M,143.00M,13.00M,13.00M,2.809B,274.00M,0,225.00M,1.734B,247.00M,65.00M,2.258B,655.00M,12.63B,15.97B,26.00M,4.052B,2.329B,3.183B,11.92B,854.00M,2.033B,598.00M,1.505B,,
NWS,2014-09,152.00M,2.735B,0,0,442.00M,0.11,0.11,5.155B,0,0,2014-09,293.00M,65.00M,17.00M,17.00M,2.91B,245.00M,0,70.00M,1.655B,156.00M,47.00M,2.108B,632.00M,12.86B,16.12B,26.00M,4.865B,2.293B,3.121B,11.26B,828.00M,2.038B,523.00M,1.471B,,
NWS,2014-06,610.00M,3.145B,0,0,405.00M,0.02,0.02,4.919B,0,0,2014-06,310.00M,13.00M,18.00M,18.00M,3.009B,224.00M,0,189.00M,1.657B,243.00M,72.00M,2.098B,532.00M,13.26B,16.49B,26.00M,5.27B,2.264B,3.07B,11.22B,806.00M,1.909B,469.00M,1.454B,,
NWS,2014-03,482.00M,3.207B,0,0,468.00M,0.08,0.08,4.879B,0,0,2014-03,364.00M,48.00M,17.00M,17.00M,2.959B,295.00M,0,33.00M,1.758B,62.00M,1.00M,2.078B,644.00M,13.05B,16.54B,26.00M,5.37B,2.498B,3.355B,11.17B,857.00M,2.045B,558.00M,1.485B,,
NWS,2013-12,257.00M,2.908B,0,0,441.00M,0.26,0.26,4.848B,0,0,2013-12,277.00M,151.00M,16.00M,16.00M,2.927B,239.00M,0,-49.00M,1.656B,-45.00M,-211.00M,2.238B,637.00M,12.77B,15.98B,26.00M,5.112B,2.292B,3.092B,10.87B,800.00M,2.287B,541.00M,1.628B,,
NWS,2013-09,489.00M,2.688B,0,0,475.00M,0.05,0.05,4.913B,0,0,2013-09,275.00M,27.00M,17.00M,17.00M,3.012B,185.00M,0,-483.00M,2.007B,-438.00M,-476.00M,2.072B,636.00M,12.84B,16.34B,26.00M,5.23B,2.645B,3.384B,11.11B,739.00M,2.555B,900.00M,2.01B,,
NWS,2013-06,271.00M,2.381B,1.299B,0,450.00M,-1.942,-1.942,4.911B,5.276B,866.00M,2013-06,301.00M,-1.124B,23.00M,23.00M,2.992B,152.00M,0,-20.00M,1.532B,-1.46B,-347.00M,2.257B,747.00M,12.58B,15.64B,26.00M,4.643B,2.171B,2.947B,11.00B,776.00M,2.277B,424.00M,1.582B,,
NWS,2013-03,1.047B,1.539B,0,0,424.00M,0.5583,0.5583,6.484B,5.584B,0,2013-03,246.00M,323.00M,25.00M,25.00M,3.221B,1.146B,0,25.00M,1.306B,337.00M,5.00M,2.18B,657.00M,12.57B,16.95B,0,3.851B,2.493B,4.388B,13.10B,1.895B,2.155B,259.00M,1.463B,,
NWS,2012-12,0,741.00M,0,0,417.00M,2.418,2.418,6.347B,0,0,2012-12,0,1.399B,18.00M,18.00M,3.315B,1.03B,0,171.00M,1.234B,1.407B,-4.00M,2.321B,669.00M,12.44B,16.56B,0,3.164B,2.312B,4.124B,13.40B,1.812B,2.15B,244.00M,1.656B,3.407B,783.00M
NWS,2012-09,0,1.01B,0,0,413.00M,-0.159,-0.159,5.21B,0,0,2012-09,0,-92.00M,11.00M,11.00M,3.302B,927.00M,0,-36.00M,1.257B,-111.00M,-28.00M,2.133B,710.00M,9.194B,13.34B,0,3.126B,2.442B,4.141B,10.21B,1.699B,2.169B,277.00M,1.426B,,
NWS,2012-06,0,1.133B,0,0,456.00M,-3.834,-3.834,5.049B,0,0,2012-06,0,-2.218B,17.00M,17.00M,3.274B,926.00M,0,55.00M,1.896B,-2.625B,-418.00M,2.134B,681.00M,8.809B,13.09B,0,3.115B,2.467B,4.171B,9.975B,1.704B,2.079B,900.00M,1.369B,,
