Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Receivables
SIVB,2021-03,20.96M,47.24B,38.43M,0,10.2,10.03,202.01M,413.37M,2021-03,536.81M,47.28B,413.37M,173.03M,1.626B,0,749.08M,187.32M,1.404B,458.70M,9.895B,142.35B,1.079B,51.43B,38.43M,132.23B,116.91B,125.78B,458.70M,4.184B
SIVB,2020-12,622.52M,48.36B,20.55M,0,7.49,7.4,204.12M,772.22M,2020-12,392.91M,44.73B,385.75M,159.97M,1.103B,0,586.90M,148.10M,1.193B,436.33M,8.220B,115.51B,340.19M,51.46B,20.55M,107.08B,94.90B,106.33B,436.33M,281.56M
SIVB,2020-09,620.39M,41.14B,19.07M,0,8.53,8.47,183.20M,393.97M,2020-09,446.31M,37.90B,393.97M,89.46M,1.090B,0,636.32M,162.26M,1.059B,344.54M,7.793B,96.92B,340.19M,43.50B,19.07M,88.95B,79.26B,88.08B,344.54M,236.95M
SIVB,2020-06,614.74M,32.34B,50.92M,0,4.44,4.42,184.55M,384.63M,2020-06,233.53M,36.14B,384.63M,92.78M,1.083B,0,335.66M,87.87M,860.76M,336.64M,7.319B,85.73B,340.19M,34.55B,50.92M,78.26B,69.57B,77.48B,336.64M,246.78M
SIVB,2020-03,592.53M,21.81B,2.763B,0,2.56,2.55,185.90M,361.17M,2020-03,135.62M,35.42B,361.17M,0,575.35M,0,183.01M,49.36M,807.15M,282.56M,7.035B,75.01B,340.19M,23.91B,3.138B,67.83B,63.63B,64.02B,282.56M,282.58M
SIVB,2019-12,84.44M,20.51B,17.43M,0,5.1,5.06,187.24M,709.86M,2019-12,262.86M,32.86B,359.24M,0,566.83M,0,368.88M,94.06M,838.72M,305.16M,6.470B,71.00B,340.19M,22.20B,17.43M,64.38B,62.73B,63.77B,305.16M,264.62M
SIVB,2019-09,136.15M,19.43B,18.90M,0,5.19,5.15,190.11M,325.24M,2019-09,267.28M,30.76B,325.24M,0,889.77M,0,386.79M,105.08M,799.02M,265.57M,5.891B,68.23B,0.052M,21.05B,18.90M,62.18B,59.99B,61.60B,265.57M,251.12M
SIVB,2019-06,81.23M,16.67B,24.25M,0,6.12,6.08,192.98M,298.24M,2019-06,317.99M,28.91B,298.24M,0,892.30M,0,455.68M,119.11M,844.12M,271.30M,5.554B,63.77B,0.052M,17.99B,24.25M,58.07B,53.64B,57.46B,271.30M,268.47M
SIVB,2019-03,-15.37M,13.52B,14.46M,0,5.49,5.44,193.22M,303.66M,2019-03,288.73M,28.55B,303.66M,0,901.88M,0,399.05M,107.44M,777.64M,265.33M,5.343B,60.16B,0.052M,14.72B,14.46M,54.68B,52.06B,54.06B,265.33M,257.30M
SIVB,2018-12,-54.12M,11.24B,312.00M,0,5.01,4.96,0,427.82M,2018-12,266.26M,28.06B,129.21M,0,696.46M,0,379.93M,105.00M,689.72M,208.38M,5.116B,56.93B,0.053M,12.03B,631.41M,51.66B,52.57B,50.57B,208.38M,253.73M
SIVB,2018-09,-108.41M,12.79B,2.260B,0,5.16,5.1,0,121.89M,2018-09,274.82M,27.21B,121.89M,0,696.22M,0,376.67M,95.31M,694.08M,224.75M,4.924B,58.14B,0.053M,13.65B,2.631B,53.07B,53.39B,49.95B,224.75M,247.19M
SIVB,2018-06,-86.86M,12.27B,417.25M,0,4.48,4.42,0,117.60M,2018-06,237.80M,25.71B,117.60M,0,695.97M,0,324.31M,77.29M,648.45M,211.12M,4.658B,55.87B,0.053M,12.99B,417.25M,51.06B,52.34B,50.12B,211.12M,227.39M
SIVB,2018-03,-71.69M,12.32B,707.14M,0,3.69,3.63,0,127.05M,2018-03,194.96M,24.31B,127.05M,0,695.73M,0,281.99M,73.97M,568.77M,192.81M,4.415B,53.50B,0.053M,13.41B,1.102B,48.94B,50.06B,47.25B,192.81M,200.24M
SIVB,2017-12,-1.472M,13.80B,703.73M,0,2.22,2.19,0,394.61M,2017-12,117.21M,22.85B,128.68M,0,695.49M,0,259.72M,135.05M,535.07M,184.21M,4.180B,51.21B,0.053M,14.68B,1.034B,46.90B,47.53B,45.48B,184.21M,197.72M
SIVB,2017-09,15.63M,16.10B,4.84M,0,2.82,2.79,0,122.83M,2017-09,148.62M,21.94B,122.83M,0,749.62M,0,251.47M,97.35M,522.66M,178.21M,4.060B,50.75B,0.053M,16.76B,4.84M,46.56B,46.46B,46.08B,178.21M,207.69M
SIVB,2017-06,14.89M,15.73B,0.47M,0,2.34,2.32,0,121.95M,2017-06,123.19M,20.74B,121.95M,0,749.43M,0,204.17M,71.66M,461.73M,176.10M,3.899B,48.40B,0.053M,16.69B,0.47M,44.36B,43.63B,43.96B,176.10M,185.13M
SIVB,2017-03,17.96M,16.00B,5.163M,0,1.94,1.91,0,122.30M,2017-03,101.48M,20.18B,122.30M,0,795.46M,0,159.28M,51.40M,418.67M,171.88M,3.764B,46.41B,0.052M,16.62B,5.163M,42.51B,42.03B,42.15B,171.88M,170.17M
SIVB,2016-12,23.43M,15.10B,512.67M,0,1.91,1.89,0,348.88M,2016-12,99.47M,19.67B,120.68M,0,795.70M,0,158.47M,54.82M,400.97M,165.17M,3.643B,44.68B,0.052M,15.60B,512.67M,40.91B,41.57B,40.09B,165.17M,173.79M
SIVB,2016-09,96.58M,15.02B,2.421M,0,2.13,2.12,0,115.01M,2016-09,111.08M,18.87B,115.01M,0,795.97M,0,192.52M,76.88M,424.31M,158.88M,3.593B,43.27B,0.052M,15.69B,2.421M,39.55B,40.17B,39.29B,158.88M,194.31M
SIVB,2016-06,129.92M,14.60B,503.22M,0,1.79,1.78,0,110.48M,2016-06,92.96M,18.59B,110.48M,0,796.33M,0,159.43M,65.05M,389.86M,138.03M,3.506B,43.13B,0.052M,15.37B,503.22M,39.50B,40.76B,38.72B,138.03M,158.61M
SIVB,2016-03,115.39M,15.91B,0,0,1.53,1.52,0,108.57M,2016-03,79.17M,17.50B,108.57M,3.891M,796.57M,0,130.18M,53.58M,359.61M,147.09M,3.381B,43.57B,0.052M,16.60B,0,40.06B,41.23B,39.78B,147.09M,153.98M
SIVB,2015-12,15.40M,17.76B,639.90M,0,1.7,1.68,0,301.46M,2015-12,87.51M,16.52B,102.62M,0,796.70M,0,143.71M,53.70M,374.85M,147.50M,3.198B,44.69B,0.052M,18.36B,774.90M,41.35B,42.58B,40.31B,147.50M,156.27M
SIVB,2015-09,97.06M,16.77B,3.756M,0,1.59,1.57,0,94.65M,2015-09,81.73M,15.12B,94.65M,0,797.21M,0,144.98M,57.02M,356.46M,129.88M,3.175B,41.73B,0.051M,17.40B,3.756M,38.42B,39.59B,38.18B,129.88M,143.84M
SIVB,2015-06,63.92M,16.78B,2.537M,0,1.68,1.66,0,88.28M,2015-06,86.14M,14.07B,88.28M,0,802.45M,0,149.43M,54.97M,363.02M,145.97M,3.051B,40.24B,0.051M,17.54B,2.537M,37.05B,37.12B,36.80B,145.97M,130.86M
SIVB,2015-03,92.67M,14.82B,77.77M,0,1.74,1.71,0,82.72M,2015-03,88.52M,14.27B,82.72M,0,802.92M,0,165.46M,63.07M,355.53M,137.81M,2.972B,39.70B,0.051M,15.62B,77.77M,35.42B,37.76B,35.13B,137.81M,114.86M
SIVB,2014-12,42.70M,15.24B,7.781M,0,1.16,1.14,0,274.88M,2014-12,57.99M,14.22B,79.84M,0,451.36M,0,175.87M,46.08M,396.48M,128.62M,2.813B,39.34B,0.051M,15.66B,7.781M,35.29B,37.12B,35.08B,128.62M,114.27M
SIVB,2014-09,18.74M,15.16B,6.63M,0,1.26,1.24,0,74.38M,2014-09,63.98M,11.89B,74.38M,0,453.76M,0,104.36M,40.21M,294.24M,120.18M,2.722B,36.04B,0.051M,15.52B,6.63M,32.10B,33.77B,31.92B,120.18M,111.91M
SIVB,2014-06,50.28M,14.27B,4.91M,0,1.06,1.04,0,71.46M,2014-06,50.95M,11.23B,71.46M,0,454.46M,0,46.28M,35.93M,213.32M,118.94M,2.676B,33.31B,0.051M,14.67B,4.91M,29.37B,30.28B,29.20B,118.94M,97.58M
SIVB,2014-03,-30.39M,16.59B,4.81M,0,1.98,1.95,0,66.12M,2014-03,90.95M,10.71B,66.12M,0,454.77M,0,335.65M,61.30M,500.99M,122.07M,2.094B,29.71B,0.046M,17.03B,4.81M,26.34B,25.46B,26.16B,122.07M,110.33M
SIVB,2013-12,-48.76M,13.35B,5.08M,0,1.29,1.27,0,233.66M,2013-12,57.42M,10.76B,67.48M,0,455.22M,0,234.63M,43.06M,420.11M,114.85M,1.966B,26.42B,0.046M,13.81B,5.08M,23.34B,24.49B,23.18B,114.85M,83.54M
SIVB,2013-09,5.443M,11.98B,5.58M,0,1.48,1.46,0,65.38M,2013-09,67.62M,9.700B,65.38M,15.61M,455.74M,0,263.58M,47.40M,429.92M,111.71M,1.945B,23.74B,0.046M,12.45B,5.58M,20.82B,21.45B,20.67B,113.23M,108.08M
SIVB,2013-06,-9.771M,10.79B,5.40M,0,1.08,1.06,0,65.64M,2013-06,48.58M,9.503B,65.64M,25.58M,455.94M,0,106.46M,29.97M,263.42M,99.90M,1.848B,22.15B,0.045M,11.17B,5.40M,19.48B,20.93B,19.34B,101.24M,86.27M
SIVB,2013-03,95.62M,12.09B,7.46M,0,0.91,0.9,0,65.71M,2013-03,40.89M,8.733B,65.71M,7.975M,457.19M,0,86.95M,26.40M,236.78M,104.82M,1.882B,22.80B,0.045M,12.69B,7.46M,20.13B,20.98B,19.98B,106.14M,79.10M
SIVB,2012-12,108.55M,12.22B,6.11M,0,1.13,1.12,0,204.90M,2012-12,50.42M,8.836B,66.54M,0,457.76M,0,129.19M,29.53M,282.50M,98.48M,1.831B,22.77B,0.045M,12.57B,166.11M,20.16B,21.50B,19.85B,99.43M,79.82M
SIVB,2012-09,122.01M,790.40M,508.17M,0,0.95,0.94,0,175.04M,2012-09,42.29M,8.091B,68.27M,0,458.31M,0,81.61M,28.47M,218.76M,93.19M,1.785B,21.58B,0.045M,1.119B,508.17M,19.02B,20.53B,18.18B,94.13M,77.91M
SIVB,2012-06,104.08M,1.412B,5.88M,0,1.08,1.06,0,0,2012-06,47.60M,7.692B,64.77M,0,458.23M,0,88.60M,31.52M,227.78M,94.32M,1.715B,21.29B,0.044M,1.627B,5.88M,18.85B,19.62B,18.53B,95.28M,105.25M
SIVB,2012-03,89.31M,850.62M,849.38M,0,0.79,0.78,0,0,2012-03,34.79M,7.020B,59.32M,0,601.84M,0,63.69M,23.76M,206.29M,98.27M,1.639B,20.82B,0.044M,1.046B,849.38M,18.48B,19.73B,17.32B,99.33M,94.78M
SIVB,2011-12,85.40M,11.48B,0,0,0.82,0.82,0,0,2011-12,35.57M,6.880B,56.47M,0,603.65M,0,70.17M,26.28M,202.61M,83.39M,1.569B,19.97B,0.044M,11.95B,0,17.72B,18.51B,17.63B,84.49M,107.18M
SIVB,2011-09,99.45M,1.742B,0,0,0.87,0.86,0,0,2011-09,37.57M,6.243B,53.46M,0,609.56M,0,102.85M,26.77M,231.07M,92.64M,1.536B,19.20B,0.043M,2.307B,0,17.00B,16.89B,16.75B,88.55M,265.24M
SIVB,2011-06,47.38M,2.100B,0,0,1.53,1.5,0,0,2011-06,65.75M,5.896B,49.45M,0,609.60M,0,133.00M,43.26M,254.16M,84.25M,1.437B,19.37B,0.043M,2.965B,0,17.35B,16.40B,16.89B,79.22M,399.47M
