Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Receivables
USB,2021-03,-2.095B,199.50B,12.10B,1.45,1.45,13.37B,8.618B,2021-03,2.28B,297.08B,3.388B,37.42B,2.892B,607.00M,5.444B,2.235B,51.68B,553.38B,5.989B,199.50B,12.10B,501.07B,509.87B,471.18B,2.273B,13.71B
USB,2020-12,322.00M,199.02B,9.559B,0.95,0.95,12.78B,8.656B,2020-12,1.519B,285.45B,3.468B,41.30B,1.92B,395.00M,5.725B,2.05B,53.10B,553.90B,6.004B,212.72B,11.77B,500.18B,477.62B,471.07B,2.097B,14.06B
USB,2020-09,612.00M,177.48B,13.72B,0.99,0.99,12.54B,7.247B,2020-09,1.58B,293.14B,3.516B,42.44B,1.933B,347.00M,5.939B,2.094B,52.56B,540.46B,6.005B,191.54B,13.72B,487.26B,482.35B,455.66B,2.138B,14.05B
USB,2020-06,798.00M,179.50B,20.60B,0.41,0.41,12.36B,0,2020-06,689.00M,297.08B,3.616B,42.58B,759.00M,64.00M,5.814B,2.066B,51.85B,546.65B,6.005B,193.55B,20.60B,494.17B,480.21B,455.88B,2.109B,14.14B
USB,2020-03,503.00M,169.86B,26.34B,0.72,0.72,12.46B,0,2020-03,1.171B,302.57B,3.66B,52.30B,1.439B,260.00M,5.748B,2.046B,51.53B,542.91B,6.005B,184.00B,26.34B,490.75B,481.96B,447.15B,2.088B,14.18B
USB,2019-12,-1.373B,144.75B,21.73B,0.91,0.9,12.88B,0,2019-12,1.486B,283.48B,3.702B,40.17B,1.847B,354.00M,5.643B,2.029B,51.85B,495.43B,6.005B,158.93B,23.72B,442.94B,458.84B,402.08B,2.073B,14.05B
USB,2019-09,-1.173B,89.60B,14.58B,1.16,1.15,12.62B,0,2019-09,1.908B,281.11B,3.673B,41.27B,2.384B,467.00M,5.895B,2.028B,53.52B,487.67B,6.005B,103.65B,14.58B,433.52B,458.35B,400.99B,2.07B,14.00B
USB,2019-06,-1.344B,85.20B,15.03B,1.09,1.09,12.71B,0,2019-06,1.821B,277.82B,3.69B,41.01B,2.277B,449.00M,5.795B,1.999B,52.91B,481.72B,6.005B,99.20B,15.03B,428.18B,450.78B,394.18B,2.041B,14.13B
USB,2019-03,-1.773B,85.22B,15.40B,1.01,1,12.89B,0,2019-03,1.699B,272.30B,3.686B,40.68B,2.086B,378.00M,5.55B,1.981B,52.06B,475.78B,6.005B,99.34B,15.40B,423.09B,443.53B,388.77B,2.021B,14.14B
USB,2018-12,-2.322B,85.51B,11.10B,1.1,1.1,12.76B,0,2018-12,1.856B,270.75B,2.457B,41.34B,2.153B,291.00M,5.801B,1.991B,51.03B,467.37B,6.005B,99.65B,14.14B,415.72B,431.78B,386.82B,2.032B,0
USB,2018-09,-2.573B,82.33B,23.87B,1.06,1.06,13.07B,7.061B,2018-09,1.815B,268.01B,2.438B,40.89B,2.282B,460.00M,5.669B,1.929B,50.38B,464.61B,6.005B,96.35B,23.87B,413.60B,430.50B,372.07B,1.97B,14.03B
USB,2018-06,-2.315B,83.16B,18.14B,1.02,1.02,12.84B,6.851B,2018-06,1.75B,265.69B,2.431B,37.17B,2.199B,441.00M,5.611B,1.952B,49.63B,461.33B,5.44B,96.99B,18.14B,411.07B,428.48B,377.25B,1.992B,13.82B
USB,2018-03,-2.193B,85.80B,17.70B,0.97,0.96,12.83B,0,2018-03,1.675B,265.14B,2.441B,33.20B,2.044B,362.00M,5.44B,1.95B,49.19B,460.12B,5.44B,99.43B,17.70B,410.31B,427.24B,377.73B,1.989B,13.63B
USB,2017-12,-1.404B,86.95B,15.60B,0.97,0.97,12.66B,0,2017-12,1.682B,266.47B,2.432B,32.26B,1.311B,-375.00M,5.545B,2.041B,49.04B,462.04B,5.44B,100.54B,16.65B,412.37B,428.94B,379.47B,2.085B,13.59B
USB,2017-09,-1.219B,87.63B,15.86B,0.89,0.88,12.56B,0,2017-09,1.563B,265.17B,2.402B,34.52B,2.158B,589.00M,5.516B,1.80B,48.72B,459.23B,5.44B,101.03B,15.86B,409.88B,425.28B,377.10B,1.844B,13.40B
USB,2017-06,-1.246B,95.62B,14.41B,0.85,0.85,12.58B,0,2017-06,1.50B,263.90B,2.413B,37.81B,2.063B,551.00M,5.397B,1.799B,48.32B,463.84B,5.44B,108.81B,14.41B,414.90B,421.69B,385.08B,1.842B,13.19B
USB,2017-03,-1.439B,86.53B,12.18B,0.82,0.82,12.66B,0,2017-03,1.473B,260.10B,2.432B,35.95B,1.985B,499.00M,5.239B,1.782B,47.80B,449.52B,5.44B,98.93B,12.18B,401.09B,416.80B,372.82B,1.826B,12.40B
USB,2016-12,-1.535B,81.23B,12.72B,0.82,0.82,12.65B,0,2016-12,1.478B,262.45B,2.443B,33.32B,2.04B,549.00M,5.237B,1.614B,47.30B,445.96B,5.522B,93.01B,13.96B,398.03B,418.48B,367.91B,1.659B,11.77B
USB,2016-09,-579.00M,89.98B,15.70B,0.84,0.84,12.24B,0,2016-09,1.502B,261.64B,2.449B,37.98B,2.082B,566.00M,5.338B,1.711B,47.76B,454.13B,5.522B,101.40B,15.70B,405.74B,419.04B,372.57B,1.756B,11.43B
USB,2016-06,-562.00M,79.58B,18.43B,0.83,0.83,12.21B,0,2016-06,1.522B,258.18B,2.459B,36.94B,2.078B,542.00M,5.397B,1.704B,47.39B,438.46B,5.522B,90.43B,18.43B,390.43B,413.58B,354.53B,1.748B,10.85B
USB,2016-03,-744.00M,74.94B,23.78B,0.77,0.76,12.41B,6.723B,2016-03,1.386B,254.12B,2.486B,34.87B,1.905B,504.00M,4.984B,1.626B,46.76B,428.64B,5.522B,85.50B,23.78B,381.24B,407.10B,341.22B,1.671B,10.56B
USB,2015-12,-1.019B,72.13B,26.14B,0.8,0.8,12.71B,6.728B,2015-12,1.476B,249.65B,2.513B,32.08B,2.045B,556.00M,5.035B,1.382B,46.13B,421.85B,5.522B,82.64B,27.88B,375.04B,400.19B,332.48B,1.428B,10.52B
USB,2015-09,-721.00M,70.53B,26.92B,0.81,0.81,12.54B,6.505B,2015-09,1.489B,244.68B,2.515B,32.50B,2.037B,534.00M,5.094B,1.609B,45.08B,415.94B,4.777B,81.14B,26.92B,370.18B,394.88B,327.77B,1.651B,10.61B
USB,2015-06,-865.00M,74.67B,27.78B,0.8,0.8,12.60B,0,2015-06,1.483B,242.21B,2.551B,34.14B,2.025B,528.00M,4.988B,1.585B,44.54B,419.08B,4.777B,85.59B,27.78B,373.84B,390.24B,330.99B,1.628B,10.91B
USB,2015-03,-714.00M,70.51B,28.23B,0.77,0.76,12.40B,0,2015-03,1.431B,238.16B,2.575B,35.10B,1.923B,479.00M,4.852B,1.566B,44.28B,410.23B,4.777B,81.64B,28.23B,365.27B,385.03B,321.70B,1.609B,11.13B
USB,2014-12,-896.00M,66.39B,28.06B,0.79,0.79,12.55B,0,2014-12,1.488B,237.35B,2.618B,32.26B,2.022B,521.00M,5.114B,1.525B,43.48B,402.53B,4.777B,77.64B,29.89B,358.36B,380.62B,314.99B,1.576B,11.25B
USB,2014-09,-636.00M,58.86B,30.04B,0.78,0.78,12.74B,0,2014-09,1.471B,239.47B,2.608B,30.77B,2.009B,523.00M,4.934B,1.46B,43.14B,391.28B,4.777B,64.86B,30.04B,347.46B,379.10B,303.86B,1.511B,5.999B
USB,2014-06,-682.00M,61.02B,29.10B,0.79,0.78,12.76B,0,2014-06,1.495B,236.76B,2.614B,25.89B,2.056B,547.00M,5.133B,1.478B,42.70B,389.06B,4.777B,67.03B,29.10B,345.68B,370.43B,302.15B,1.526B,6.001B
USB,2014-03,-850.00M,52.17B,30.78B,0.73,0.73,12.63B,0,2014-03,1.397B,230.02B,2.589B,23.77B,1.908B,496.00M,4.758B,1.483B,42.05B,371.29B,4.777B,58.18B,30.78B,328.55B,357.87B,284.39B,1.532B,6.009B
USB,2013-12,-1.071B,48.31B,24.96B,0.76,0.76,12.73B,0,2013-12,1.456B,223.05B,2.606B,20.05B,1.874B,403.00M,4.833B,1.481B,41.11B,364.02B,4.777B,59.51B,27.61B,322.21B,344.34B,282.17B,1.537B,11.20B
USB,2013-09,-1.351B,50.92B,26.13B,0.76,0.76,12.63B,6.438B,2013-09,1.468B,225.22B,2.608B,18.75B,1.972B,542.00M,4.835B,1.451B,40.13B,360.68B,4.777B,56.68B,26.13B,319.13B,343.30B,280.47B,1.506B,5.761B
USB,2013-06,-1.288B,46.92B,26.18B,0.76,0.76,12.44B,6.257B,2013-06,1.484B,222.63B,2.622B,19.72B,1.973B,529.00M,4.892B,1.471B,39.68B,353.42B,4.777B,52.73B,26.18B,312.36B,341.00B,271.29B,1.526B,5.802B
USB,2013-03,-941.00M,47.50B,27.13B,0.73,0.73,12.07B,0,2013-03,1.428B,221.15B,2.656B,25.24B,1.945B,558.00M,4.818B,1.465B,39.53B,355.45B,4.79B,53.03B,27.13B,314.60B,342.99B,273.25B,1.522B,5.526B
USB,2012-12,-923.00M,46.35B,21.96B,0.72,0.72,11.85B,0,2012-12,1.42B,215.98B,2.67B,25.52B,1.927B,552.00M,5.056B,1.417B,39.00B,353.86B,4.79B,57.25B,26.30B,313.59B,334.70B,274.70B,1.483B,10.90B
USB,2012-09,-603.00M,9.382B,27.85B,0.74,0.74,11.48B,0,2012-09,1.474B,223.55B,2.65B,26.26B,2.025B,593.00M,5.122B,1.43B,38.66B,352.25B,4.79B,9.382B,27.85B,312.43B,342.87B,270.50B,1.497B,11.03B
USB,2012-06,-830.00M,15.40B,30.68B,0.71,0.71,11.65B,0,2012-06,1.415B,219.77B,2.638B,28.82B,1.942B,564.00M,5.013B,1.385B,37.79B,353.14B,4.79B,15.40B,30.68B,314.26B,337.73B,270.14B,1.455B,0
USB,2012-03,-944.00M,9.561B,27.45B,0.68,0.67,11.86B,0,2012-03,1.338B,212.53B,2.623B,30.40B,1.832B,527.00M,4.873B,1.421B,35.90B,340.76B,3.715B,9.561B,27.45B,303.85B,331.20B,263.95B,1.492B,0
USB,2011-12,-1.20B,59.07B,22.45B,0.69,0.69,11.66B,0,2011-12,1.35B,201.21B,2.657B,31.95B,1.855B,527.00M,5.024B,1.145B,33.98B,340.12B,2.627B,70.10B,30.47B,305.15B,315.13B,262.84B,1.219B,0
USB,2011-09,-930.00M,13.71B,32.03B,0.65,0.64,11.61B,0,2011-09,1.273B,205.19B,2.581B,30.62B,1.742B,490.00M,4.746B,1.402B,33.23B,330.14B,2.627B,13.71B,32.03B,295.93B,316.43B,253.26B,1.468B,0
USB,2011-06,-977.00M,15.25B,29.65B,0.61,0.6,12.22B,0,2011-06,1.203B,198.35B,2.529B,32.83B,1.637B,458.00M,4.634B,1.569B,32.45B,320.87B,2.627B,15.25B,29.65B,287.53B,305.62B,247.71B,1.194B,0
